date,year,interest_rate_mtg_data_weekly,cpi_data_monthly,cpi_fesl_data_monthly,rec_sahm_data_monthly,rec_smooth_prob_data_monthly,rec_nber_data_monthly,unemployment_data_monthly,unemployment_level_data_monthly,all_employed_data_monthly,employment_population_ratio_data_monthly,labor_force_participation_data_monthly,m1_data_monthly,m2_data_monthly,m2_real_data_monthly,interest_rate_fedfunds_data_monthly,consumer_sentiment_data_monthly,consumer_sentiment_inflation_data_monthly,consumer_sentiment_composite_data_monthly,consumer_sentiment_composite_amplitude_data_monthly,job_openings_data_monthly,job_hires_data_monthly,job_separations_data_monthly,average_weekly_earnings_data_monthly,gdp_data_quarterly,gdp_real_data_quarterly,cpi_inflation_data_annual,median_income_real_data_annual,median_income_data_annual
1970-01-01,1970,,38.84166666666667,40.81666666666667,1.3283333333333334,47.471666666666664,0.9166666666666666,4.983333333333333,4127.333333333333,71007.41666666667,57.39166666666667,60.38333333333333,209.09166666666667,601.4583333333334,1548.325,7.183333333333334,75.875,,81.6372275,98.827195,,,,,1073.3105,5316.39125,5.83825533848251,,
1971-01-01,1971,7.54175,40.483333333333334,42.73333333333333,1.175,0.4683333333333333,0.0,5.95,5021.666666666667,71330.75,56.59166666666667,60.15833333333333,223.125,674.4,1665.425,4.6625000000000005,80.6,,88.03909166666666,99.52996166666667,,,,,1164.8497499999999,5491.4455,4.29276668813051,,
1972-01-01,1972,7.383269230769231,41.80833333333333,44.041666666666664,-0.04666666666666667,0.2916666666666667,0.0,5.6000000000000005,4875.833333333333,73787.58333333333,56.98333333333333,60.38333333333333,239.025,758.1583333333333,1812.9750000000001,4.434166666666667,91.825,,97.8212125,100.585195,,,,,1279.112,5780.04825,3.27227824655283,,
1973-01-01,1973,8.044807692307693,44.425000000000004,45.574999999999996,-0.04750000000000001,3.848333333333333,0.08333333333333333,4.858333333333333,4359.333333333333,76901.66666666667,57.824999999999996,60.775,256.30833333333334,831.7583333333333,1872.7,8.727500000000001,76.85,,80.88406666666667,98.72810916666667,,,,,1425.376,6106.3705,6.17776006377038,,
1974-01-01,1974,9.187115384615385,49.31666666666666,49.35833333333333,0.735,62.74666666666667,1.0,5.641666666666667,5173.333333333333,78383.08333333333,57.824999999999996,61.275,269.14166666666665,880.5583333333334,1786.5916666666665,10.5025,64.45,,68.96799,97.44496416666668,,,,,1545.2425,6073.36275,11.0548048048048,,
1975-01-01,1975,9.047115384615385,53.824999999999996,53.90833333333333,2.985,25.996666666666666,0.25,8.475,7939.583333333333,77071.41666666667,56.050000000000004,61.23333333333333,281.325,963.5,1789.45,5.824166666666667,70.425,,78.1942075,98.46032333333333,,,,,1684.905,6060.87525,9.14314686496535,,
1976-01-01,1976,8.865849056603773,56.93333333333334,57.44166666666666,0.2383333333333333,0.20833333333333334,0.0,7.7,7398.166666666667,79507.41666666667,56.833333333333336,61.583333333333336,297.19166666666666,1086.5333333333333,1907.875,5.045,86.15,,92.91670333333333,100.0526425,,,,,1873.4125,6387.4365,5.74481263549085,,
1977-01-01,1977,8.845192307692308,60.61666666666667,61.03333333333333,-0.013333333333333334,0.31666666666666665,0.0,7.05,6966.916666666667,82599.75,57.85833333333333,62.23333333333333,319.8833333333333,1221.1916666666666,2014.2749999999999,5.5375000000000005,87.675,,93.92988666666668,100.17651416666666,,,,,2081.825,6682.8045,6.5016839947284,,
1978-01-01,1978,9.641730769230769,65.24166666666666,65.47500000000001,-0.05000000000000001,1.5233333333333334,0.0,6.066666666666666,6187.083333333333,86829.08333333333,59.324999999999996,63.15,346.15000000000003,1322.2333333333333,2026.95,7.930833333333333,79.40833333333333,6.866666666666667,85.438895,99.26132416666667,,,,,2351.59875,7052.71125,7.63096383885606,,
1979-01-01,1979,11.203653846153847,72.58333333333333,71.85833333333333,0.0525,6.2749999999999995,0.0,5.8500000000000005,6135.333333333333,89935.5,59.94166666666666,63.65,372.55833333333334,1425.6666666666667,1965.05,11.194166666666666,66.02499999999999,9.466666666666667,71.03918333333333,97.664675,,,,,2627.32625,7275.99925,11.2544711292795,,
1980-01-01,1980,13.742115384615385,82.38333333333334,80.78333333333333,1.2858333333333334,38.473333333333336,0.5,7.175,7670.666666666667,90531.58333333333,59.208333333333336,63.775,395.68333333333334,1540.1833333333334,1869.8,13.355833333333331,64.41666666666667,9.333333333333334,69.3087075,97.45901833333333,,,,,2857.3085,7257.3165,13.5492019749684,,
1981-01-01,1981,16.641509433962263,90.93333333333334,89.25,0.6116666666666667,36.016666666666666,0.4166666666666667,7.616666666666667,8276.333333333334,91292.16666666667,59.025,63.875,424.9666666666667,1679.2916666666667,1846.7166666666665,16.378333333333334,70.675,7.208333333333333,76.04231916666667,98.22579666666667,,,,,3207.04125,7441.485,10.3347153402771,,
1982-01-01,1982,16.043653846153845,96.53333333333335,95.85000000000001,2.0483333333333333,58.41,0.9166666666666666,9.708333333333334,10714.916666666666,89684.58333333333,57.78333333333333,63.99166666666667,452.97499999999997,1830.9250000000002,1896.5,12.258333333333333,67.97500000000001,4.541666666666667,73.13727166666666,97.84732416666667,,,,,3343.7892500000003,7307.314,6.13142700027493,,
1983-01-01,1983,13.235384615384616,99.58333333333333,99.60000000000001,0.6316666666666667,0.43166666666666664,0.0,9.6,10693.75,90288.66666666667,57.86666666666667,64.00833333333333,503.1666666666667,2054.4666666666667,2062.7999999999997,9.086666666666668,87.38333333333333,3.158333333333333,94.0195425,100.21381000000001,,,,,3634.0365,7642.2654999999995,3.21243523316065,,
1984-01-01,1984,13.877692307692307,103.93333333333334,104.7,-0.08583333333333333,0.22833333333333336,0.0,7.508333333333333,8529.083333333334,94542.58333333333,59.53333333333333,64.36666666666666,538.6416666666667,2218.9583333333335,2134.75,10.225,97.47500000000001,3.483333333333333,104.87761416666666,101.36492500000001,,,,,4037.614,8195.29525,4.30053547523429,60420.0,22420.0
1985-01-01,1985,12.430192307692307,107.60000000000001,109.28333333333335,0.0375,0.36833333333333335,0.0,7.191666666666666,8313.416666666666,97528.66666666667,60.11666666666667,64.80833333333334,586.9499999999999,2416.5,2245.5833333333335,8.100833333333334,93.16666666666667,3.108333333333333,100.24208750000001,100.8562,,,,,4338.9805,8537.00375,3.54564415209365,61570.0,23620.0
1986-01-01,1986,10.187307692307693,109.69166666666666,113.70833333333333,0.1325,0.41333333333333333,0.0,7.0,8245.0,99497.5,60.69166666666666,65.24166666666666,666.2583333333333,2612.775,2381.766666666667,6.805,94.79166666666667,2.8083333333333336,101.9904975,101.05340000000001,,,,,4579.6325,8832.61125,1.89804772234276,63850.0,24900.0
1987-01-01,1987,10.213396226415094,113.61666666666667,118.175,-0.0775,0.2866666666666667,0.0,6.175,7413.5,102114.41666666667,61.525,65.575,743.5583333333334,2782.258333333333,2448.891666666667,6.6575,90.64166666666667,3.1333333333333333,97.52532500000001,100.57743333333333,,,,,4855.2162499999995,9137.74475,3.6645632175169,64650.0,26060.0
1988-01-01,1988,10.341730769230768,118.27499999999999,123.425,-0.045000000000000005,0.2916666666666667,0.0,5.491666666666667,6696.583333333333,105375.33333333333,62.28333333333333,65.90833333333333,774.7583333333333,2931.116666666667,2478.2,7.5683333333333325,93.73333333333333,3.6833333333333336,100.85179416666666,100.93440833333334,,,,,5236.438,9519.42675,4.07774110744413,65130.0,27230.0
1989-01-01,1989,10.319423076923076,123.94166666666666,128.96666666666667,0.0625,1.29,0.0,5.258333333333334,6523.666666666667,108046.83333333333,62.94166666666666,66.44166666666666,782.15,3054.025,2463.9416666666666,9.216666666666667,92.75833333333333,3.8000000000000003,99.80274166666668,100.79873333333335,,,,,5641.5795,9869.00325,4.82700303008944,66240.0,28910.0
1990-01-01,1990,10.129423076923077,130.65833333333333,135.45833333333334,0.22666666666666668,21.78,0.4166666666666667,5.616666666666667,7061.0,109527.91666666667,62.800000000000004,66.53333333333333,810.5666666666666,3222.2333333333336,2466.4500000000003,8.099166666666667,81.61666666666666,4.133333333333334,87.81493916666666,99.4933175,,,,,5963.1445,10055.128499999999,5.39795643990325,65440.0,29940.0
1991-01-01,1991,9.246538461538462,136.16666666666666,142.11666666666667,1.1975,12.776666666666666,0.25,6.8500000000000005,8639.833333333334,108434.16666666667,61.65,66.16666666666667,858.9833333333332,3342.1,2454.4583333333335,5.6875,77.55,3.1916666666666664,83.43943416666667,99.02203666666666,,,,,6158.12925,10044.2375,4.23496396453849,63530.0,30130.0
1992-01-01,1992,8.390188679245282,140.30833333333334,147.31666666666666,0.7283333333333334,0.4683333333333333,0.0,7.491666666666667,9611.166666666666,108791.33333333333,61.46666666666667,66.44166666666666,965.8583333333332,3404.566666666667,2426.608333333333,3.5216666666666665,77.25,2.8249999999999997,83.11665166666667,98.97511416666667,,,,,6520.32725,10398.04625,3.02881967814969,63010.0,30640.0
1993-01-01,1993,7.314615384615385,144.475,152.20000000000002,-0.035833333333333335,0.305,0.0,6.908333333333334,8926.666666666666,110933.5,61.708333333333336,66.3,1078.3916666666667,3439.758333333333,2380.891666666667,3.0224999999999995,82.79166666666667,3.0749999999999997,89.07917250000001,99.66678,,,,,6858.5585,10684.17875,2.95165696638559,62700.0,31240.0
1994-01-01,1994,8.38076923076923,148.225,156.5,-0.07083333333333335,0.155,0.0,6.1000000000000005,7975.5,114386.0,62.525,66.575,1145.2166666666667,3483.35,2350.1833333333334,4.201666666666667,92.26666666666667,3.0,99.27373833333333,100.7494,,,,,7287.2365,11114.64625,2.60744159215453,63370.0,32260.0
1995-01-01,1995,7.934615384615385,152.38333333333333,161.225,0.08666666666666667,0.36166666666666664,0.0,5.591666666666666,7406.916666666667,117410.58333333333,62.88333333333333,66.625,1143.0083333333334,3555.5833333333335,2333.1833333333334,5.836666666666666,92.24166666666667,2.9499999999999997,99.24683666666665,100.738,,,,,7639.74925,11413.01225,2.80541968853662,65380.0,34080.0
1996-01-01,1996,7.806153846153847,156.85833333333332,165.55833333333334,0.01916666666666667,0.15833333333333333,0.0,5.408333333333334,7231.083333333333,119820.33333333333,63.175000000000004,66.76666666666667,1106.8166666666666,3728.9500000000003,2377.1833333333334,5.298333333333333,93.60833333333333,2.983333333333333,100.717295,100.91702500000001,,,,,8073.12175,11843.599,2.93120419993441,66340.0,35490.0
1997-01-01,1997,7.598846153846154,160.525,169.50833333333333,-0.012500000000000002,0.09666666666666668,0.0,4.941666666666666,6728.666666666667,122929.91666666667,63.775,67.10833333333333,1070.2333333333333,3925.725,2445.4166666666665,5.46,103.21666666666665,2.85,111.05533333333334,102.06420833333334,,,,,8577.5525,12370.299500000001,2.33768993730735,67720.0,37010.0
1998-01-01,1998,6.942641509433962,163.00833333333333,173.38333333333333,0.03416666666666667,0.22166666666666668,0.0,4.5,6203.833333333333,126135.16666666667,64.075,67.08333333333333,1080.6166666666666,4206.533333333334,2580.3333333333335,5.353333333333333,104.61666666666667,2.4583333333333335,112.56164166666667,102.20836666666666,,,,,9062.81675,12924.87575,1.55227909874364,70200.0,38890.0
1999-01-01,1999,7.4399999999999995,166.58333333333334,176.975,-0.0175,0.2316666666666667,0.0,4.216666666666667,5878.833333333333,129227.83333333333,64.26666666666667,67.08333333333333,1102.3,4518.133333333333,2712.0583333333334,4.97,105.825,2.7416666666666667,113.86174999999999,102.36414166666667,,,,,9631.17175,13543.774,2.18802719697358,71980.0,40700.0
2000-01-01,2000,8.053461538461539,172.1916666666667,181.29166666666666,-0.005,2.6233333333333335,0.0,3.966666666666667,5685.083333333333,132017.5,64.40833333333333,67.06666666666666,1103.7,4792.075,2782.816666666667,6.235833333333333,107.575,2.975,115.74464166666667,102.52939166666665,4541.0,5084.0,4942.0,,10250.952000000001,14096.033,3.37685727149929,71790.0,41990.0
2001-01-01,2001,6.967884615384615,177.04166666666666,186.125,0.6875,23.941666666666666,0.6666666666666666,4.741666666666666,6829.666666666667,132078.58333333334,63.666666666666664,66.83333333333333,1140.2416666666668,5208.933333333333,2941.9833333333336,3.8874999999999997,89.24166666666667,2.433333333333333,96.01901166666666,100.42150666666667,3871.5833333333335,4867.666666666667,5044.833333333333,,10581.929,14230.726,2.82617111885407,70610.0,42230.0
2002-01-01,2002,6.537307692307692,179.86666666666667,190.4416666666667,1.1133333333333333,1.2466666666666666,0.0,5.783333333333334,8375.333333333334,130633.75,62.73333333333333,66.58333333333333,1196.6833333333332,5598.166666666667,3112.1583333333333,1.6666666666666667,89.58333333333333,2.5,96.386625,100.41308833333333,3026.4166666666665,4517.916666666667,4583.166666666667,,10929.108250000001,14472.7115,1.58603162650601,70040.0,42410.0
2003-01-01,2003,5.826981132075471,184.0,193.225,0.26333333333333336,0.665,0.0,5.991666666666667,8770.333333333334,130325.16666666667,62.26666666666667,66.24166666666666,1274.0666666666666,5988.075,3254.275,1.1275,87.625,2.475,94.27956416666666,100.25613166666666,2882.25,4441.5,4430.916666666667,,11456.4495,14877.3125,2.27009497336115,70080.0,43320.0
2004-01-01,2004,5.839230769230769,188.90833333333333,196.64166666666665,-0.03333333333333333,0.3833333333333333,0.0,5.541666666666667,8139.666666666667,131755.33333333334,62.349999999999994,65.98333333333333,1344.5833333333333,6273.833333333333,3320.866666666667,1.3491666666666668,95.2,2.9583333333333335,102.42984416666667,101.07054166666667,3287.9166666666665,4720.5,4557.666666666667,,12217.19575,15449.75725,2.67723669309172,69970.0,44330.0
2005-01-01,2005,5.866730769230769,195.26666666666665,200.86666666666667,-0.03166666666666667,1.7000000000000002,0.0,5.083333333333333,7579.166666666667,134023.08333333334,62.68333333333334,66.03333333333333,1372.1583333333335,6541.066666666667,3349.8250000000003,3.2133333333333334,88.55,3.341666666666667,95.27481333333333,100.31829916666668,3738.0833333333335,4982.75,4797.166666666667,,13039.197,15987.9575,3.3927468454955,71060.0,46330.0
