date,Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,passive income
2018-09-30,81.0,22.666666666666668,12.333333333333334,5.333333333333333,13.333333333333334,26.0,16.333333333333332,4.333333333333333,73.66666666666667,23.0,8.666666666666666,12.333333333333334,75.0,3.3333333333333335
2018-12-31,73.66666666666667,21.0,15.666666666666666,6.0,16.333333333333332,24.666666666666668,15.666666666666666,4.0,66.66666666666667,17.0,7.0,12.333333333333334,65.33333333333333,3.0
2019-03-31,76.33333333333333,25.666666666666668,23.333333333333332,6.666666666666667,19.333333333333332,27.0,18.0,5.333333333333333,66.66666666666667,23.0,8.0,12.0,65.33333333333333,4.0
2019-06-30,87.33333333333333,28.0,25.333333333333332,7.0,16.0,29.333333333333332,19.333333333333332,5.666666666666667,70.0,24.0,9.0,11.666666666666666,73.66666666666667,3.3333333333333335
2019-09-30,75.0,21.333333333333332,25.333333333333332,7.0,14.333333333333334,29.333333333333332,20.333333333333332,6.0,73.33333333333333,21.333333333333332,9.0,12.0,72.0,4.0
2019-12-31,71.0,20.0,26.0,7.666666666666667,16.0,26.333333333333332,18.0,5.333333333333333,66.0,16.0,7.0,13.0,63.0,3.3333333333333335
2020-03-31,67.0,18.333333333333332,28.666666666666668,18.333333333333332,19.0,29.666666666666668,20.0,5.666666666666667,74.0,21.333333333333332,8.0,11.666666666666666,62.333333333333336,3.6666666666666665
2020-06-30,45.666666666666664,9.333333333333334,40.666666666666664,36.333333333333336,23.666666666666668,41.666666666666664,23.0,5.333333333333333,80.33333333333333,28.333333333333332,8.333333333333334,15.0,66.66666666666667,3.0
2020-09-30,45.333333333333336,10.333333333333334,39.666666666666664,16.0,18.333333333333332,42.666666666666664,22.333333333333332,6.0,71.0,26.333333333333332,8.0,14.333333333333334,69.0,4.0
2020-12-31,44.0,8.666666666666666,42.666666666666664,16.333333333333332,16.666666666666668,37.0,16.333333333333332,9.0,67.0,18.333333333333332,7.333333333333333,13.666666666666666,59.666666666666664,3.6666666666666665
2021-03-31,49.0,10.333333333333334,45.666666666666664,17.0,18.666666666666668,50.333333333333336,16.666666666666668,10.333333333333334,66.33333333333333,23.666666666666668,7.666666666666667,14.0,58.333333333333336,4.666666666666667
2021-06-30,52.666666666666664,11.666666666666666,44.333333333333336,13.666666666666666,15.666666666666666,41.333333333333336,15.0,10.0,72.0,24.666666666666668,7.333333333333333,11.666666666666666,69.33333333333333,5.0
2021-09-30,52.666666666666664,12.0,40.333333333333336,15.0,14.0,38.0,15.666666666666666,9.333333333333334,72.66666666666667,20.0,7.0,12.333333333333334,72.33333333333333,5.666666666666667
2021-12-31,51.666666666666664,10.666666666666666,39.333333333333336,15.666666666666666,13.666666666666666,38.666666666666664,15.666666666666666,9.666666666666666,65.33333333333333,16.0,6.666666666666667,13.0,66.0,5.666666666666667
2022-03-31,59.666666666666664,12.0,47.333333333333336,20.333333333333332,15.333333333333334,58.666666666666664,28.333333333333332,11.333333333333334,71.66666666666667,18.0,8.333333333333334,13.333333333333334,61.0,7.333333333333333
2022-06-30,61.0,12.333333333333334,45.0,17.0,13.333333333333334,55.333333333333336,28.666666666666668,14.666666666666666,78.66666666666667,16.0,7.333333333333333,12.333333333333334,64.66666666666667,7.0
2022-09-30,57.0,12.333333333333334,43.0,17.0,14.333333333333334,52.666666666666664,30.666666666666668,14.333333333333334,80.0,14.333333333333334,9.0,13.0,66.66666666666667,7.333333333333333
2022-12-31,54.333333333333336,11.666666666666666,42.333333333333336,16.666666666666668,11.666666666666666,49.333333333333336,28.666666666666668,13.333333333333334,74.0,10.666666666666666,7.0,13.0,56.333333333333336,6.333333333333333
