filed_date,fiscal_year,form,fiscal_period,company,ticker,category,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,StockholdersEquity,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,ContractWithCustomerLiabilityChangeInTimeframePerformanceObligationSatisfiedRevenueRecognized,OperatingLeasesIncomeStatementMinimumLeaseRevenue,Revenues
2021-08-05,2021,10-Q,Q2,Uber,UBER,gig,33252000000.0,1849794000.0,-238000000.0,19498000000.0,-4711000000.0,-2870000000.0,,192000000.0,12266000000.0,,,,5161000000.0
2021-11-09,2021,10-Q,Q3,Uber,UBER,gig,33252000000.0,1849794000.0,-215000000.0,19498000000.0,-5799000000.0,-3986000000.0,,184000000.0,12266000000.0,,,,7974000000.0
2022-02-24,2021,10-K,FY,Uber,UBER,gig,33252000000.0,1849794000.0,45000000.0,19498000000.0,-8506000000.0,-8596000000.0,,157000000.0,12266000000.0,,,,13000000000.0
2022-05-05,2022,10-Q,Q1,Uber,UBER,gig,38774000000.0,1949316000.0,185000000.0,23425000000.0,-108000000.0,-1524000000.0,,146000000.0,14458000000.0,,,,2903000000.0
2022-08-04,2022,10-Q,Q2,Uber,UBER,gig,38774000000.0,1949316000.0,-294000000.0,23425000000.0,1036000000.0,-2712000000.0,,148000000.0,14458000000.0,,,,6832000000.0
2022-11-02,2022,10-Q,Q3,Uber,UBER,gig,38774000000.0,1949316000.0,-395000000.0,23425000000.0,-1388000000.0,-3284000000.0,,140000000.0,14458000000.0,,,,11677000000.0
2023-02-21,2022,10-K,FY,Uber,UBER,gig,38774000000.0,1949316000.0,-192000000.0,23425000000.0,-6768000000.0,-4863000000.0,,131000000.0,14458000000.0,,,,11139000000.0
2023-05-03,2023,10-Q,Q1,Uber,UBER,gig,32109000000.0,2005486000.0,-232000000.0,23605000000.0,-5930000000.0,-482000000.0,,123000000.0,7340000000.0,,,,6854000000.0
2023-08-02,2023,10-Q,Q2,Uber,UBER,gig,32109000000.0,2005486000.0,-155000000.0,23605000000.0,-8530000000.0,-1195000000.0,,116000000.0,7340000000.0,,,,14927000000.0
2023-11-07,2023,10-Q,Q3,Uber,UBER,gig,32109000000.0,2005486000.0,-97000000.0,23605000000.0,-9736000000.0,-1690000000.0,,128000000.0,7340000000.0,,,,23270000000.0
2024-02-15,2023,10-K,FY,Uber,UBER,gig,32109000000.0,2005486000.0,-492000000.0,23605000000.0,-496000000.0,-3834000000.0,,122000000.0,7340000000.0,,,,17455000000.0
2024-05-08,2024,10-Q,Q1,Uber,UBER,gig,38699000000.0,2071144000.0,55000000.0,26017000000.0,-157000000.0,-262000000.0,,,11249000000.0,,,,8823000000.0
2024-08-06,2024,10-Q,Q2,Uber,UBER,gig,38699000000.0,2071144000.0,120000000.0,26017000000.0,237000000.0,64000000.0,,,11249000000.0,,,,18053000000.0
2024-10-31,2024,10-Q,Q3,Uber,UBER,gig,38699000000.0,2071144000.0,80000000.0,26017000000.0,458000000.0,458000000.0,,,11249000000.0,,,,27345000000.0
