ticker,date,filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,company,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares
HLF,2025-12-31,2026-02-18,2025,10-K,FY,3871400000.0,3871400000.0,3871400000.0,3871400000.0,3871400000.0,3871400000.0,,3871400000.0,3871400000.0,HLF,3871400000.0,1,1,0,1,1,1,1
LYFT,2019-12-31,2020-02-28,2019,10-K,FY,-708272000.0,-708272000.0,,-708272000.0,-708272000.0,-708272000.0,,-708272000.0,-708272000.0,LYFT,-708272000.0,0,1,0,1,1,1,1
LYFT,2020-12-31,2021-03-01,2020,10-K,FY,2156616000.0,2156616000.0,,2156616000.0,2156616000.0,2156616000.0,,2156616000.0,2156616000.0,LYFT,2156616000.0,0,1,0,1,1,1,1
LYFT,2021-12-31,2022-02-28,2021,10-K,FY,3615960000.0,3615960000.0,,3615960000.0,3615960000.0,3615960000.0,,3615960000.0,3615960000.0,LYFT,3615960000.0,0,1,0,1,1,1,1
LYFT,2022-12-31,2023-02-27,2022,10-K,FY,2364681000.0,2364681000.0,,2364681000.0,2364681000.0,2364681000.0,,2364681000.0,2364681000.0,LYFT,2364681000.0,0,1,0,1,1,1,1
LYFT,2023-12-31,2024-02-20,2023,10-K,FY,3208323000.0,3208323000.0,,3208323000.0,3208323000.0,3208323000.0,,3208323000.0,3208323000.0,LYFT,3208323000.0,0,1,0,1,1,1,1
LYFT,2024-12-31,2025-02-14,2024,10-K,FY,4095135000.0,4095135000.0,,4095135000.0,4095135000.0,4095135000.0,,4095135000.0,4095135000.0,LYFT,4095135000.0,0,1,0,1,1,1,1
LYFT,2025-12-31,2026-02-11,2025,10-K,FY,4403589000.0,4403589000.0,,4403589000.0,4403589000.0,4403589000.0,,4403589000.0,4403589000.0,LYFT,4403589000.0,0,1,0,1,1,1,1
PRI,2011-12-31,2012-02-28,2011,10-K,FY,2220401000.0,2220401000.0,,2220401000.0,2220401000.0,2220401000.0,,,2220401000.0,PRI,2220401000.0,0,0,0,1,1,1,1
PRI,2012-12-31,2013-02-27,2012,10-K,FY,1361863000.0,1361863000.0,,1361863000.0,1361863000.0,1361863000.0,,,1361863000.0,PRI,1361863000.0,0,0,0,1,1,1,1
PRI,2013-12-31,2014-02-27,2013,10-K,FY,1103093000.0,1103093000.0,,1103093000.0,1103093000.0,1103093000.0,,,1103093000.0,PRI,1103093000.0,0,0,0,1,1,1,1
PRI,2014-12-31,2015-02-26,2014,10-K,FY,1153772000.0,1153772000.0,,1153772000.0,1153772000.0,1153772000.0,,,1153772000.0,PRI,1153772000.0,0,0,0,1,1,1,1
PRI,2015-12-31,2016-02-25,2015,10-K,FY,1228998000.0,1228998000.0,,1228998000.0,1228998000.0,1228998000.0,,,1228998000.0,PRI,1228998000.0,0,0,0,1,1,1,1
PRI,2016-12-31,2017-02-27,2016,10-K,FY,1337096000.0,1337096000.0,,1337096000.0,1337096000.0,1337096000.0,,,1337096000.0,PRI,1337096000.0,0,0,0,1,1,1,1
PRI,2017-12-31,2018-02-26,2017,10-K,FY,1404199000.0,1404199000.0,,1404199000.0,1404199000.0,1404199000.0,,,1404199000.0,PRI,1404199000.0,0,0,0,1,1,1,1
PRI,2018-12-31,2019-02-26,2018,10-K,FY,1519084000.0,1519084000.0,,1519084000.0,1519084000.0,1519084000.0,,,1519084000.0,PRI,1519084000.0,0,0,0,1,1,1,1
PRI,2019-12-31,2020-02-28,2019,10-K,FY,1689102000.0,1689102000.0,,1689102000.0,1689102000.0,1689102000.0,,,1689102000.0,PRI,1689102000.0,0,0,0,1,1,1,1
PRI,2020-12-31,2021-03-01,2020,10-K,FY,1899843000.0,1899843000.0,,1899843000.0,1899843000.0,1899843000.0,,,1899843000.0,PRI,1899843000.0,0,0,0,1,1,1,1
PRI,2021-12-31,2022-03-01,2021,10-K,FY,2052504000.0,2052504000.0,,2052504000.0,2052504000.0,2052504000.0,,,2052504000.0,PRI,2052504000.0,0,0,0,1,1,1,1
PRI,2022-12-31,2023-02-28,2022,10-K,FY,2217541000.0,2217541000.0,,2217541000.0,2217541000.0,2217541000.0,,,2217541000.0,PRI,2217541000.0,0,0,0,1,1,1,1
PRI,2023-12-31,2024-02-28,2023,10-K,FY,2709732000.0,2709732000.0,,2709732000.0,2709732000.0,2709732000.0,,,2709732000.0,PRI,2709732000.0,0,0,0,1,1,1,1
PRI,2024-12-31,2025-02-28,2024,10-K,FY,2657451000.0,2657451000.0,,2657451000.0,2657451000.0,2657451000.0,,,2657451000.0,PRI,2657451000.0,0,0,0,1,1,1,1
PRI,2025-12-31,2026-02-27,2025,10-K,FY,2748507000.0,2748507000.0,,2748507000.0,2748507000.0,2748507000.0,,,2748507000.0,PRI,2748507000.0,0,0,0,1,1,1,1
