filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,WeightedAverageNumberOfSharesOutstandingBasic,ticker,OperatingExpenses
2011-05-10,2011,10-Q,Q1,2110600000.0,,0.67,1229200000.0,30900000.0,,,,AOS,
2011-08-08,2011,10-Q,Q2,2110600000.0,,1.03,1229200000.0,47500000.0,,,45679739.0,AOS,
2011-11-08,2011,10-Q,Q3,2110600000.0,,1.72,1229200000.0,79500000.0,,,45719270.0,AOS,
2012-02-27,2011,10-K,FY,1973000000.0,,2.36,1229200000.0,81300000.0,,,34289257.0,AOS,
2012-05-07,2012,10-Q,Q1,2349000000.0,,0.88,1263200000.0,,,,46000013.0,AOS,
2012-08-03,2012,10-Q,Q2,2349000000.0,,1.96,1263200000.0,,,,46095382.0,AOS,
2012-11-06,2012,10-Q,Q3,2349000000.0,,5.87,1263200000.0,,,,46137918.0,AOS,
2013-02-27,2012,10-K,FY,2110600000.0,,2.42,1263200000.0,111700000.0,,,45743246.0,AOS,
2013-05-06,2013,10-Q,Q1,2265200000.0,,0.51,1071100000.0,,,,92206386.0,AOS,
2013-08-05,2013,10-Q,Q2,2265200000.0,,0.89,1071100000.0,,,,92378970.0,AOS,
2013-11-04,2013,10-Q,Q3,2265200000.0,,1.28,1071100000.0,,,,92381930.0,AOS,
2014-02-20,2013,10-K,FY,2349000000.0,,3.28,1084700000.0,,,,92238064.0,AOS,
2014-05-05,2014,10-Q,Q1,2391500000.0,,0.42,1062800000.0,,,,92551062.0,AOS,
2014-08-05,2014,10-Q,Q2,2391500000.0,,0.87,1062800000.0,,,,92603598.0,AOS,
2014-11-03,2014,10-Q,Q3,2391500000.0,,1.37,1062800000.0,127300000.0,,,92417352.0,AOS,
2015-02-18,2014,10-K,FY,2278800000.0,,1.71,1062800000.0,158700000.0,,,92395216.0,AOS,
