filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,OperatingExpenses,RevenueFromContractWithCustomerExcludingAssessedTax,WeightedAverageNumberOfSharesOutstandingBasic,ticker,Revenues
2023-05-08,2023,10-Q,Q1,4556431000.0,,-0.57,4167763000.0,-196932000.0,,818099000.0,346558000.0,LYFT,875575000.0
2023-08-09,2023,10-Q,Q2,4556431000.0,,-1.65,4167763000.0,-196932000.0,,1732646000.0,348553000.0,LYFT,1866323000.0
2023-11-09,2023,10-Q,Q3,4556431000.0,,-2.84,4167763000.0,-196932000.0,,2698694000.0,351224000.0,LYFT,2920143000.0
2024-02-20,2023,10-K,FY,4556431000.0,,-3.17,4167763000.0,-1062144000.0,,2957979000.0,334724000.0,LYFT,3208323000.0
2024-05-09,2024,10-Q,Q1,4564467000.0,,-0.5,4022949000.0,-187649000.0,,952697000.0,373727000.0,LYFT,1000548000.0
2024-08-07,2024,10-Q,Q2,4564467000.0,,-0.8,4022949000.0,-187649000.0,,1893655000.0,377828000.0,LYFT,2021454000.0
2024-11-07,2024,10-Q,Q3,4564467000.0,,-0.82,4022949000.0,-187649000.0,,2963594000.0,381697000.0,LYFT,3179004000.0
2025-02-14,2024,10-K,FY,4564467000.0,,-4.47,4022949000.0,-1584511000.0,,3811993000.0,354731000.0,LYFT,4095135000.0
2025-05-09,2025,10-Q,Q1,5435069000.0,,-0.08,4668053000.0,-31535000.0,,1209737000.0,401553000.0,LYFT,1277201000.0
2025-08-07,2025,10-Q,Q2,5435069000.0,,-0.07,4668053000.0,-31535000.0,,2531568000.0,404033000.0,LYFT,2713047000.0
2025-11-05,2025,10-Q,Q3,5435069000.0,,-0.1,4668053000.0,-31535000.0,,3919393000.0,406785000.0,LYFT,4235739000.0
2026-02-11,2025,10-K,FY,5435069000.0,,-0.88,4668053000.0,-340320000.0,,4116216000.0,385335000.0,LYFT,4403589000.0
2021-03-05,2020,10-K,FY,1732000000.0,,,550000000.0,-204000000.0,,291000000.0,,DASH,
2021-05-14,2021,10-Q,Q1,6353000000.0,,,1653000000.0,-129000000.0,,362000000.0,,DASH,
2021-08-13,2021,10-Q,Q2,6353000000.0,,-2.39,1653000000.0,-129000000.0,,1037000000.0,44341000.0,DASH,
2021-11-10,2021,10-Q,Q3,6353000000.0,,-3.34,1653000000.0,-129000000.0,,1916000000.0,44568000.0,DASH,
2022-03-01,2021,10-K,FY,6353000000.0,,-15.44,1653000000.0,-667000000.0,,885000000.0,43252000.0,DASH,
2022-05-06,2022,10-Q,Q1,6809000000.0,,-0.34,2142000000.0,-110000000.0,,1077000000.0,327815000.0,DASH,
2022-08-05,2022,10-Q,Q2,6809000000.0,,-0.64,2142000000.0,-110000000.0,,2313000000.0,331280000.0,DASH,
2022-11-04,2022,10-Q,Q3,6809000000.0,,-0.94,2142000000.0,-110000000.0,,3588000000.0,334277000.0,DASH,
2023-02-27,2022,10-K,FY,6809000000.0,,-7.39,2142000000.0,-461000000.0,,2886000000.0,62390000.0,DASH,
2023-05-05,2023,10-Q,Q1,9789000000.0,,-0.48,3021000000.0,-167000000.0,,1456000000.0,349219000.0,DASH,
2023-08-02,2023,10-Q,Q2,9789000000.0,,-1.21,3021000000.0,-167000000.0,,3064000000.0,356630000.0,DASH,
2023-11-01,2023,10-Q,Q3,9789000000.0,,-1.98,3021000000.0,-167000000.0,,4765000000.0,366107000.0,DASH,
2024-02-20,2023,10-K,FY,9789000000.0,,-1.39,3021000000.0,-468000000.0,,4888000000.0,336847000.0,DASH,
2024-05-01,2024,10-Q,Q1,10839000000.0,,-0.41,4026000000.0,-161000000.0,,2035000000.0,390397000.0,DASH,
2024-08-01,2024,10-Q,Q2,10839000000.0,,-0.85,4026000000.0,-161000000.0,,4168000000.0,389563000.0,DASH,
