ticker,date,filed_date,form,fiscal_period,company,industrykey,sectorkey,fiscal_year,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares,year,close,volume
FVRR,2023-12-31,2024-02-22,20-F,FY,FVRR,internet-content-information,communication-services,2023,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,1,1,1,1,1,1,1,2023,27.21999931335449,1051900.0
FVRR,2024-12-31,2025-02-19,20-F,FY,FVRR,internet-content-information,communication-services,2024,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,1,1,1,1,1,1,1,2024,31.729999542236328,428000.0
FVRR,2025-12-31,2026-03-12,20-F,FY,FVRR,internet-content-information,communication-services,2025,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,1,1,1,1,1,1,1,2025,19.709999084472656,1010900.0
GRUB,2014-12-31,2015-03-05,10-K,FY,GRUB,,,2014,7919000.0,7919000.0,,7919000.0,,7919000.0,,,7919000.0,7919000.0,0,0,0,0,1,1,1,2014,,
GRUB,2015-12-31,2016-02-26,10-K,FY,GRUB,,,2015,6747000.0,6747000.0,,6747000.0,,6747000.0,,,6747000.0,6747000.0,0,0,0,0,1,1,1,2015,,
GRUB,2016-12-31,2017-02-28,10-K,FY,GRUB,,,2016,24263000.0,24263000.0,,24263000.0,,24263000.0,,,24263000.0,24263000.0,0,0,0,0,1,1,1,2016,,
GRUB,2017-12-31,2018-02-28,10-K,FY,GRUB,,,2017,61422000.0,61422000.0,,61422000.0,,61422000.0,,61422000.0,61422000.0,61422000.0,0,1,0,0,1,1,1,2017,,
GRUB,2018-12-31,2019-02-28,10-K,FY,GRUB,,,2018,83123000.0,83123000.0,,83123000.0,,83123000.0,,83123000.0,83123000.0,83123000.0,0,1,0,0,1,1,1,2018,,
GRUB,2019-12-31,2020-02-28,10-K,FY,GRUB,,,2019,89750000.0,89750000.0,,89750000.0,,89750000.0,,89750000.0,89750000.0,89750000.0,0,1,0,0,1,1,1,2019,,
GRUB,2020-12-31,2021-03-01,10-K,FY,GRUB,,,2020,84963000.0,84963000.0,,84963000.0,,84963000.0,,84963000.0,84963000.0,84963000.0,0,1,0,0,1,1,1,2020,,
HLF,2010-12-31,2011-02-22,10-K,FY,HLF,packaged-foods,consumer-defensive,2010,1900817000.0,1900817000.0,1900817000.0,1900817000.0,1900817000.0,1900817000.0,,1900817000.0,1900817000.0,1900817000.0,1,1,0,1,1,1,1,2010,16.037757873535156,728800.0
HLF,2011-12-31,2012-02-21,10-K,FY,HLF,packaged-foods,consumer-defensive,2011,1831443000.0,1831443000.0,1831443000.0,1831443000.0,1831443000.0,1831443000.0,,1831443000.0,1831443000.0,1831443000.0,1,1,0,1,1,1,1,2011,24.540632247924805,1252000.0
HLF,2012-12-31,2013-02-19,10-K,FY,HLF,packaged-foods,consumer-defensive,2012,2175415000.0,2175415000.0,2175415000.0,2175415000.0,2175415000.0,2175415000.0,,2175415000.0,2175415000.0,2175415000.0,1,1,0,1,1,1,1,2012,16.014554977416992,32691000.0
HLF,2013-12-31,2014-02-18,10-K,FY,HLF,packaged-foods,consumer-defensive,2013,2774453000.0,2774453000.0,2774453000.0,2774453000.0,2774453000.0,2774453000.0,,2774453000.0,2774453000.0,2774453000.0,1,1,0,1,1,1,1,2013,39.174537658691406,2007600.0
HLF,2014-12-31,2015-02-26,10-K,FY,HLF,packaged-foods,consumer-defensive,2014,3259700000.0,3259700000.0,3259700000.0,3259700000.0,3259700000.0,3259700000.0,,3259700000.0,3259700000.0,3259700000.0,1,1,0,1,1,1,1,2014,18.850000381469727,2937600.0
HLF,2015-12-31,2016-02-25,10-K,FY,HLF,packaged-foods,consumer-defensive,2015,3861900000.0,3861900000.0,3861900000.0,3861900000.0,3861900000.0,3861900000.0,,3861900000.0,3861900000.0,3861900000.0,1,1,0,1,1,1,1,2015,26.809999465942383,1273000.0
HLF,2016-12-31,2017-02-23,10-K,FY,HLF,packaged-foods,consumer-defensive,2016,3975700000.0,3975700000.0,3975700000.0,3975700000.0,3975700000.0,3975700000.0,,3975700000.0,3975700000.0,3975700000.0,1,1,0,1,1,1,1,2016,24.06999969482422,1935000.0
HLF,2017-12-31,2018-02-22,10-K,FY,HLF,packaged-foods,consumer-defensive,2017,3613000000.0,3613000000.0,3613000000.0,3613000000.0,3613000000.0,3613000000.0,,3613000000.0,3613000000.0,3613000000.0,1,1,0,1,1,1,1,2017,33.86000061035156,1229000.0
HLF,2018-12-31,2019-02-19,10-K,FY,HLF,packaged-foods,consumer-defensive,2018,3633800000.0,3633800000.0,3633800000.0,3633800000.0,3633800000.0,3633800000.0,,3633800000.0,3633800000.0,3633800000.0,1,1,0,1,1,1,1,2018,58.95000076293945,1013800.0
HLF,2019-12-31,2020-02-18,10-K,FY,HLF,packaged-foods,consumer-defensive,2019,3579100000.0,3579100000.0,3579100000.0,3579100000.0,3579100000.0,3579100000.0,,3579100000.0,3579100000.0,3579100000.0,1,1,0,1,1,1,1,2019,47.66999816894531,1548400.0
HLF,2020-12-31,2021-02-17,10-K,FY,HLF,packaged-foods,consumer-defensive,2020,3972500000.0,3972500000.0,3972500000.0,3972500000.0,3972500000.0,3972500000.0,,3972500000.0,3972500000.0,3972500000.0,1,1,0,1,1,1,1,2020,48.04999923706055,368300.0
HLF,2021-12-31,2022-02-23,10-K,FY,HLF,packaged-foods,consumer-defensive,2021,3919100000.0,3919100000.0,3919100000.0,3919100000.0,3919100000.0,3919100000.0,,3919100000.0,3919100000.0,3919100000.0,1,1,0,1,1,1,1,2021,40.93000030517578,941000.0
HLF,2022-12-31,2023-02-14,10-K,FY,HLF,packaged-foods,consumer-defensive,2022,4391200000.0,4391200000.0,4391200000.0,4391200000.0,4391200000.0,4391200000.0,,4391200000.0,4391200000.0,4391200000.0,1,1,0,1,1,1,1,2022,14.880000114440918,920600.0
HLF,2023-12-31,2024-02-14,10-K,FY,HLF,packaged-foods,consumer-defensive,2023,4563500000.0,4563500000.0,4563500000.0,4563500000.0,4563500000.0,4563500000.0,,4563500000.0,4563500000.0,4563500000.0,1,1,0,1,1,1,1,2023,15.260000228881836,702900.0
