ticker,date,filed_date,form,fiscal_period,company,industrykey,sectorkey,fiscal_year,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares,quarter,year,close,volume
AVON,2015-12-31,2016-02-23,10-K,FY,AVON,,,2015,8496800000.0,8496800000.0,8496800000.0,8496800000.0,8496800000.0,8496800000.0,,8496800000.0,8496800000.0,8496800000.0,1,1,0,1,1,1,1,4,2015,,
AVON,2016-06-30,2016-08-02,10-Q,Q2,AVON,,,2016,3117000000.0,3117000000.0,3117000000.0,3117000000.0,3117000000.0,3117000000.0,,3117000000.0,3117000000.0,3117000000.0,1,1,0,1,1,1,1,2,2016,,
AVON,2016-09-30,2016-11-03,10-Q,Q3,AVON,,,2016,4553200000.0,4553200000.0,4553200000.0,4553200000.0,4553200000.0,4553200000.0,,4553200000.0,4553200000.0,4553200000.0,1,1,0,1,1,1,1,3,2016,,
AVON,2016-12-31,2017-02-22,10-K,FY,AVON,,,2016,7648000000.0,7648000000.0,7648000000.0,7648000000.0,7648000000.0,7648000000.0,,7648000000.0,7648000000.0,7648000000.0,1,1,0,1,1,1,1,4,2016,,
AVON,2017-03-31,2017-05-04,10-Q,Q1,AVON,,,2017,1306500000.0,1306500000.0,1306500000.0,1306500000.0,1306500000.0,1306500000.0,,1306500000.0,1306500000.0,1306500000.0,1,1,0,1,1,1,1,1,2017,,
AVON,2017-06-30,2017-08-03,10-Q,Q2,AVON,,,2017,2740800000.0,2740800000.0,2740800000.0,2740800000.0,2740800000.0,2740800000.0,,2740800000.0,2740800000.0,2740800000.0,1,1,0,1,1,1,1,2,2017,,
AVON,2017-09-30,2017-11-02,10-Q,Q3,AVON,,,2017,4149600000.0,4149600000.0,4149600000.0,4149600000.0,4149600000.0,4149600000.0,,4149600000.0,4149600000.0,4149600000.0,1,1,0,1,1,1,1,3,2017,,
AVON,2017-12-31,2018-02-22,10-K,FY,AVON,,,2017,6160500000.0,6160500000.0,6160500000.0,6160500000.0,6160500000.0,6160500000.0,,6160500000.0,6160500000.0,6160500000.0,1,1,0,1,1,1,1,4,2017,,
AVON,2018-03-31,2018-05-03,10-Q,Q1,AVON,,,2018,1333100000.0,1333100000.0,1333100000.0,1333100000.0,1333100000.0,1333100000.0,,1333100000.0,1333100000.0,1333100000.0,1,1,0,1,1,1,1,1,2018,,
AVON,2018-06-30,2018-08-03,10-Q,Q2,AVON,,,2018,2729000000.0,2729000000.0,2729000000.0,2729000000.0,2729000000.0,2729000000.0,,2729000000.0,2729000000.0,2729000000.0,1,1,0,1,1,1,1,2,2018,,
AVON,2018-09-30,2018-11-02,10-Q,Q3,AVON,,,2018,4146800000.0,4146800000.0,4146800000.0,4146800000.0,4146800000.0,4146800000.0,,4146800000.0,4146800000.0,4146800000.0,1,1,0,1,1,1,1,3,2018,,
AVON,2018-12-31,2019-02-21,10-K,FY,AVON,,,2018,816000000.0,816000000.0,816000000.0,816000000.0,816000000.0,816000000.0,,816000000.0,816000000.0,816000000.0,1,1,0,1,1,1,1,4,2018,,
AVON,2019-03-31,2019-05-03,10-Q,Q1,AVON,,,2019,1393500000.0,1393500000.0,1393500000.0,1393500000.0,1393500000.0,1393500000.0,,1393500000.0,1393500000.0,1393500000.0,1,1,0,1,1,1,1,1,2019,,
AVON,2019-06-30,2019-08-01,10-Q,Q2,AVON,,,2019,2745400000.0,2745400000.0,2745400000.0,2745400000.0,2745400000.0,2745400000.0,,2745400000.0,2745400000.0,2745400000.0,1,1,0,1,1,1,1,2,2019,,
AVON,2019-09-30,2019-10-31,10-Q,Q3,AVON,,,2019,4169600000.0,4169600000.0,4169600000.0,4169600000.0,4169600000.0,4169600000.0,,4169600000.0,4169600000.0,4169600000.0,1,1,0,1,1,1,1,3,2019,,
AVON,2019-12-31,2020-03-05,10-K,FY,AVON,,,2019,813800000.0,813800000.0,813800000.0,813800000.0,813800000.0,813800000.0,,813800000.0,813800000.0,813800000.0,1,1,0,1,1,1,1,4,2019,,
AVON,2020-03-31,2020-05-14,10-Q,Q1,AVON,,,2020,5500000.0,5500000.0,5500000.0,5500000.0,5500000.0,5500000.0,,5500000.0,5500000.0,5500000.0,1,1,0,1,1,1,1,1,2020,,
AVON,2020-06-30,2020-08-14,10-Q,Q2,AVON,,,2020,2361700000.0,2361700000.0,2361700000.0,2361700000.0,2361700000.0,2361700000.0,,2361700000.0,2361700000.0,2361700000.0,1,1,0,1,1,1,1,2,2020,,
AVON,2020-09-30,2020-11-13,10-Q,Q3,AVON,,,2020,3549700000.0,3549700000.0,3549700000.0,3549700000.0,3549700000.0,3549700000.0,,3549700000.0,3549700000.0,3549700000.0,1,1,0,1,1,1,1,3,2020,,
AVON,2020-12-31,2021-03-05,10-K,FY,AVON,,,2020,5571300000.0,5571300000.0,5571300000.0,5571300000.0,5571300000.0,5571300000.0,,5571300000.0,5571300000.0,5571300000.0,1,1,0,1,1,1,1,4,2020,,
AVON,2021-03-31,2021-05-13,10-Q,Q1,AVON,,,2021,957300000.0,957300000.0,957300000.0,957300000.0,957300000.0,957300000.0,,957300000.0,957300000.0,957300000.0,1,1,0,1,1,1,1,1,2021,,
AVON,2021-06-30,2021-08-13,10-Q,Q2,AVON,,,2021,1563800000.0,1563800000.0,1563800000.0,1563800000.0,1563800000.0,1563800000.0,,1563800000.0,1563800000.0,1563800000.0,1,1,0,1,1,1,1,2,2021,,
AVON,2021-09-30,2021-11-12,10-Q,Q3,AVON,,,2021,2561800000.0,2561800000.0,2561800000.0,2561800000.0,2561800000.0,2561800000.0,,2561800000.0,2561800000.0,2561800000.0,1,1,0,1,1,1,1,3,2021,,
AVON,2021-12-31,2022-03-10,10-K,FY,AVON,,,2021,4763200000.0,4763200000.0,4763200000.0,4763200000.0,4763200000.0,4763200000.0,,4763200000.0,4763200000.0,4763200000.0,1,1,0,1,1,1,1,4,2021,,
AVON,2022-03-31,2022-05-06,10-Q,Q1,AVON,,,2022,904400000.0,904400000.0,904400000.0,904400000.0,904400000.0,904400000.0,,904400000.0,904400000.0,904400000.0,1,1,0,1,1,1,1,1,2022,,
AVON,2022-06-30,2022-08-12,10-Q,Q2,AVON,,,2022,1821400000.0,1821400000.0,1821400000.0,1821400000.0,1821400000.0,1821400000.0,,1821400000.0,1821400000.0,1821400000.0,1,1,0,1,1,1,1,2,2022,,
AVON,2022-09-30,2022-11-10,10-Q,Q3,AVON,,,2022,2589700000.0,2589700000.0,2589700000.0,2589700000.0,2589700000.0,2589700000.0,,2589700000.0,2589700000.0,2589700000.0,1,1,0,1,1,1,1,3,2022,,
AVON,2022-12-31,2023-03-14,10-K,FY,AVON,,,2022,3625200000.0,3625200000.0,3625200000.0,3625200000.0,3625200000.0,3625200000.0,,3625200000.0,3625200000.0,3625200000.0,1,1,0,1,1,1,1,4,2022,,
AVON,2023-03-31,2023-05-15,10-Q,Q1,AVON,,,2023,663300000.0,663300000.0,663300000.0,663300000.0,663300000.0,663300000.0,,663300000.0,663300000.0,663300000.0,1,1,0,1,1,1,1,1,2023,,
CART,2023-09-30,2023-11-13,10-Q,Q3,CART,internet-retail,consumer-cyclical,2023,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1,1,1,1,1,1,1,3,2023,29.690000534057617,1928600.0
