Date,Week,Month,Quarter,Year,Company,Ticker,industryKey,sectorKey,Close,Volume,Close_lag1,Volume_lag1
2020-07-19,29,7,3,2020,Upwork,UPWK,internet-content-information,communication-services,13.9399995803833,1556000.0,16.079999923706055,2711400.0
2020-07-26,30,7,3,2020,Upwork,UPWK,internet-content-information,communication-services,13.399999618530273,2243100.0,13.9399995803833,1556000.0
2020-08-02,31,8,3,2020,Upwork,UPWK,internet-content-information,communication-services,15.020000457763672,1777400.0,13.399999618530273,2243100.0
2020-08-09,32,8,3,2020,Upwork,UPWK,internet-content-information,communication-services,14.859999656677246,4302100.0,15.020000457763672,1777400.0
2020-08-16,33,8,3,2020,Upwork,UPWK,internet-content-information,communication-services,14.789999961853027,1249600.0,14.859999656677246,4302100.0
2020-08-23,34,8,3,2020,Upwork,UPWK,internet-content-information,communication-services,14.75,1967000.0,14.789999961853027,1249600.0
2020-08-30,35,8,3,2020,Upwork,UPWK,internet-content-information,communication-services,15.050000190734863,2079500.0,14.75,1967000.0
2020-09-06,36,9,3,2020,Upwork,UPWK,internet-content-information,communication-services,13.949999809265137,2431200.0,15.050000190734863,2079500.0
2020-09-13,37,9,3,2020,Upwork,UPWK,internet-content-information,communication-services,15.09000015258789,1345300.0,13.949999809265137,2431200.0
2020-09-20,38,9,3,2020,Upwork,UPWK,internet-content-information,communication-services,15.350000381469727,2781500.0,15.09000015258789,1345300.0
2020-09-27,39,9,3,2020,Upwork,UPWK,internet-content-information,communication-services,16.700000762939453,3234800.0,15.350000381469727,2781500.0
2020-10-04,40,10,4,2020,Upwork,UPWK,internet-content-information,communication-services,18.84000015258789,3463300.0,16.700000762939453,3234800.0
2020-10-11,41,10,4,2020,Upwork,UPWK,internet-content-information,communication-services,20.209999084472656,1428800.0,18.84000015258789,3463300.0
2020-10-18,42,10,4,2020,Upwork,UPWK,internet-content-information,communication-services,20.079999923706055,1053500.0,20.209999084472656,1428800.0
2020-10-25,43,10,4,2020,Upwork,UPWK,internet-content-information,communication-services,19.719999313354492,2002300.0,20.079999923706055,1053500.0
2020-11-01,44,11,4,2020,Upwork,UPWK,internet-content-information,communication-services,18.450000762939453,1713900.0,19.719999313354492,2002300.0
2020-11-08,45,11,4,2020,Upwork,UPWK,internet-content-information,communication-services,29.260000228881836,5568500.0,18.450000762939453,1713900.0
2020-11-15,46,11,4,2020,Upwork,UPWK,internet-content-information,communication-services,30.84000015258789,1629700.0,29.260000228881836,5568500.0
2020-11-22,47,11,4,2020,Upwork,UPWK,internet-content-information,communication-services,35.529998779296875,2671600.0,30.84000015258789,1629700.0
2020-11-29,48,11,4,2020,Upwork,UPWK,internet-content-information,communication-services,34.86000061035156,1082500.0,35.529998779296875,2671600.0
2020-12-06,49,12,4,2020,Upwork,UPWK,internet-content-information,communication-services,31.969999313354492,1301500.0,34.86000061035156,1082500.0
2020-12-13,50,12,4,2020,Upwork,UPWK,internet-content-information,communication-services,34.970001220703125,1674200.0,31.969999313354492,1301500.0
2020-12-20,51,12,4,2020,Upwork,UPWK,internet-content-information,communication-services,40.209999084472656,3679900.0,34.970001220703125,1674200.0
2020-12-27,52,12,4,2020,Upwork,UPWK,internet-content-information,communication-services,37.79999923706055,605500.0,40.209999084472656,3679900.0
2021-01-03,53,1,1,2021,Upwork,UPWK,internet-content-information,communication-services,34.52000045776367,1485200.0,37.79999923706055,605500.0
2021-01-10,1,1,1,2021,Upwork,UPWK,internet-content-information,communication-services,38.0099983215332,2378600.0,34.52000045776367,1485200.0
2021-01-17,2,1,1,2021,Upwork,UPWK,internet-content-information,communication-services,38.79999923706055,1297200.0,38.0099983215332,2378600.0
2021-01-24,3,1,1,2021,Upwork,UPWK,internet-content-information,communication-services,41.349998474121094,1396500.0,38.79999923706055,1297200.0
2021-01-31,4,1,1,2021,Upwork,UPWK,internet-content-information,communication-services,41.45000076293945,1371900.0,41.349998474121094,1396500.0
2021-02-07,5,2,1,2021,Upwork,UPWK,internet-content-information,communication-services,51.59000015258789,1721900.0,41.45000076293945,1371900.0
2021-02-14,6,2,1,2021,Upwork,UPWK,internet-content-information,communication-services,56.77000045776367,1951700.0,51.59000015258789,1721900.0
2021-02-21,7,2,1,2021,Upwork,UPWK,internet-content-information,communication-services,56.0099983215332,3184300.0,56.77000045776367,1951700.0
2021-02-28,8,2,1,2021,Upwork,UPWK,internet-content-information,communication-services,53.880001068115234,2751100.0,56.0099983215332,3184300.0
