filed_date,fiscal_year,form,fiscal_period,company,ticker,category,year,date,industrykey,sectorkey,close,volume,Revenue,NetIncomeLoss,OperatingIncomeLoss,Assets,Liabilities,StockholdersEquity,IncomeTaxExpenseBenefit,CommonStockSharesOutstanding,Assets_lag1,CommonStockSharesOutstanding_lag1,IncomeTaxExpenseBenefit_lag1,Liabilities_lag1,NetIncomeLoss_lag1,OperatingIncomeLoss_lag1,StockholdersEquity_lag1,Revenue_lag1,close_lag1,volume_lag1
2014-02-27,2013,10-K,FY,Primerica,PRI,mlm,2013,2013-12-31,insurance-life,financial-services,36.76253890991211,180300.0,1103093000.0,133535000.0,346986460.3174603,9851820000.0,9062461000.0,1337411000.0,86718000.0,72843000.0,10337877000.0,64883000.0,72407000.0,9062461000.0,133535000.0,346986460.3174603,1337411000.0,886214000.0,25.403711318969727,290200.0
2015-02-26,2014,10-K,FY,Primerica,PRI,mlm,2014,2014-12-31,insurance-life,financial-services,46.969722747802734,249300.0,1153772000.0,133535000.0,346986460.3174603,10337877000.0,9107923000.0,1337411000.0,92813000.0,64883000.0,10329950000.0,56374000.0,66828000.0,9107923000.0,133535000.0,346986460.3174603,1337411000.0,912348000.0,36.76253890991211,180300.0
2016-02-25,2015,10-K,FY,Primerica,PRI,mlm,2015,2015-12-31,insurance-life,financial-services,41.43133544921875,281200.0,1228998000.0,133535000.0,346986460.3174603,10329744000.0,9492469000.0,1337411000.0,86305000.0,56374000.0,10737595000.0,54834000.0,72224000.0,9492469000.0,133535000.0,346986460.3174603,1337411000.0,993561000.0,46.969722747802734,249300.0
2017-02-27,2016,10-K,FY,Primerica,PRI,mlm,2016,2016-12-31,insurance-life,financial-services,61.46628189086914,185600.0,1337096000.0,181412000.0,346986460.3174603,10735929000.0,9465011000.0,1245126000.0,95888000.0,54834000.0,10610783000.0,52169000.0,76664000.0,9465011000.0,141924000.0,346986460.3174603,1146681000.0,1050752000.0,41.43133544921875,281200.0
2018-02-26,2017,10-K,FY,Primerica,PRI,mlm,2017,2017-12-31,insurance-life,financial-services,91.10659790039062,181100.0,1404199000.0,189871000.0,346986460.3174603,10610783000.0,10217569000.0,1145772000.0,101110000.0,52169000.0,11438943000.0,48297000.0,87991000.0,10217569000.0,162540000.0,346986460.3174603,1220893000.0,1125221000.0,61.46628189086914,185600.0
2019-02-26,2018,10-K,FY,Primerica,PRI,mlm,2018,2018-12-31,insurance-life,financial-services,88.48662567138672,221500.0,1519084000.0,219414000.0,346986460.3174603,11438943000.0,11041602000.0,1221374000.0,118181000.0,48297000.0,12460703000.0,45721000.0,89619000.0,11041602000.0,181813000.0,346986460.3174603,1280530000.0,1246161000.0,91.10659790039062,181100.0
2020-02-28,2019,10-K,FY,Primerica,PRI,mlm,2019,2019-12-31,insurance-life,financial-services,119.55378723144533,146100.0,1689102000.0,350255000.0,346986460.3174603,12460703000.0,11133535000.0,1419101000.0,29265000.0,45721000.0,12595048000.0,44251000.0,70610000.0,11133535000.0,237550000.0,346986460.3174603,1443456000.0,1412518000.0,88.48662567138672,221500.0
2021-03-01,2020,10-K,FY,Primerica,PRI,mlm,2020,2020-12-31,insurance-life,financial-services,124.22382354736328,118300.0,1899843000.0,324094000.0,346986460.3174603,12595048000.0,12036040000.0,1461513000.0,91990000.0,44251000.0,13688531000.0,42694000.0,82133000.0,12036040000.0,272834000.0,346986460.3174603,1607811000.0,1520545000.0,119.55378723144533,146100.0
2022-03-01,2021,10-K,FY,Primerica,PRI,mlm,2021,2021-12-31,insurance-life,financial-services,143.92208862304688,63000.0,2052504000.0,366391000.0,346986460.3174603,13688531000.0,13069400000.0,1652491000.0,110720000.0,42694000.0,14905285000.0,41207000.0,89010000.0,13069400000.0,286080000.0,346986460.3174603,1720446000.0,1619213000.0,124.22382354736328,118300.0
2023-02-28,2022,10-K,FY,Primerica,PRI,mlm,2022,2022-12-31,insurance-life,financial-services,135.3682403564453,78700.0,2217541000.0,386164000.0,346986460.3174603,14905285000.0,14033440000.0,1835885000.0,120566000.0,41207000.0,16123223000.0,39306000.0,107403000.0,14033440000.0,338489000.0,346986460.3174603,2098942000.0,1985638000.0,143.92208862304688,63000.0
2024-02-28,2023,10-K,FY,Primerica,PRI,mlm,2023,2023-12-31,insurance-life,financial-services,199.0907745361328,74900.0,2709732000.0,477362000.0,346986460.3174603,16195964000.0,12610169000.0,925427000.0,167544000.0,39306000.0,14641423000.0,39368000.0,113102000.0,12610169000.0,325347000.0,346986460.3174603,925427000.0,2033194000.0,135.3682403564453,78700.0
2025-02-28,2024,10-K,FY,Primerica,PRI,mlm,2024,2024-12-31,insurance-life,financial-services,266.02667236328125,139900.0,2657451000.0,472068000.0,346986460.3174603,15027732000.0,12961765000.0,2031254000.0,163942000.0,39368000.0,15027732000.0,36824000.0,134603000.0,12961765000.0,272603000.0,346986460.3174603,2312495000.0,2042317000.0,199.0907745361328,74900.0
2026-02-27,2025,10-K,FY,Primerica,PRI,mlm,2025,2025-12-31,insurance-life,financial-services,259.3033142089844,187100.0,2748507000.0,472068000.0,346986460.3174603,14582022000.0,12322981000.0,2065967000.0,180556000.0,36824000.0,14582022000.0,34996000.0,168283000.0,12322981000.0,472068000.0,346986460.3174603,1946828000.0,2301033000.0,266.02667236328125,139900.0
2020-03-02,2019,10-K,FY,Uber,UBER,gig,2019,2019-12-31,software-application,technology,29.739999771118164,16228400.0,7932000000.0,-4033000000.0,-4080000000.0,23988000000.0,17196000000.0,-7385000000.0,-542000000.0,457189000.0,23988000000.0,457189000.0,605000000.0,17196000000.0,1884000000.0,-478000000.0,-7385000000.0,8296000000.0,,
2021-03-01,2020,10-K,FY,Uber,UBER,gig,2020,2020-12-31,software-application,technology,51.0,13282800.0,10433000000.0,997000000.0,-3033000000.0,31761000000.0,16578000000.0,14190000000.0,283000000.0,1716681000.0,31761000000.0,1716681000.0,20000000.0,16578000000.0,-7410000000.0,-7625000000.0,14190000000.0,10078000000.0,29.739999771118164,16228400.0
2022-02-24,2021,10-K,FY,Uber,UBER,gig,2021,2021-12-31,software-application,technology,41.93000030517578,13746900.0,13000000000.0,-8506000000.0,-8596000000.0,33252000000.0,19498000000.0,12266000000.0,45000000.0,1849794000.0,33252000000.0,1849794000.0,-215000000.0,19498000000.0,-5799000000.0,-3986000000.0,12266000000.0,7974000000.0,51.0,13282800.0
2023-02-21,2022,10-K,FY,Uber,UBER,gig,2022,2022-12-31,software-application,technology,24.729999542236328,20474100.0,11139000000.0,-6768000000.0,-4863000000.0,38774000000.0,23425000000.0,14458000000.0,-192000000.0,1949316000.0,38774000000.0,1949316000.0,-395000000.0,23425000000.0,-1388000000.0,-3284000000.0,14458000000.0,11677000000.0,41.93000030517578,13746900.0
2024-02-15,2023,10-K,FY,Uber,UBER,gig,2023,2023-12-31,software-application,technology,61.56999969482422,21615400.0,17455000000.0,-496000000.0,-3834000000.0,32109000000.0,23605000000.0,7340000000.0,-492000000.0,2005486000.0,32109000000.0,2005486000.0,-97000000.0,23605000000.0,-9736000000.0,-1690000000.0,7340000000.0,23270000000.0,24.729999542236328,20474100.0
2025-02-14,2024,10-K,FY,Uber,UBER,gig,2024,2024-12-31,software-application,technology,60.31999969482422,14487300.0,31877000000.0,-9141000000.0,-1832000000.0,38699000000.0,26017000000.0,11249000000.0,-181000000.0,2071144000.0,38699000000.0,2071144000.0,80000000.0,26017000000.0,458000000.0,458000000.0,11249000000.0,27345000000.0,61.56999969482422,21615400.0
2026-02-13,2025,10-K,FY,Uber,UBER,gig,2025,2025-12-31,software-application,technology,82.12000274658203,9500700.0,37281000000.0,1887000000.0,1110000000.0,51244000000.0,28768000000.0,21558000000.0,213000000.0,2107953000.0,51244000000.0,2107953000.0,244000000.0,28768000000.0,2973000000.0,2029000000.0,21558000000.0,32019000000.0,60.31999969482422,14487300.0
2022-03-25,2021,10-K,FY,Udemy,UDMY,gig,2021,2021-12-31,education-training-services,consumer-defensive,19.540000915527344,255300.0,329100000.0,-69703000.0,-68031000.0,282096000.0,268677000.0,-183568000.0,1375000.0,35627503.0,282096000.0,35627503.0,2261000.0,268677000.0,-50585000.0,-47284000.0,-225590000.0,247900000.0,,
2023-02-27,2022,10-K,FY,Udemy,UDMY,gig,2022,2022-12-31,education-training-services,consumer-defensive,10.550000190734863,565000.0,478700000.0,-77620000.0,-73380000.0,739851000.0,350151000.0,-225590000.0,3149000.0,139164693.0,739851000.0,139164693.0,514000.0,350151000.0,-38642000.0,-36962000.0,-260685000.0,433700000.0,19.540000915527344,255300.0
2024-02-26,2023,10-K,FY,Udemy,UDMY,gig,2023,2023-12-31,education-training-services,consumer-defensive,14.729999542236328,690800.0,552300000.0,-80026000.0,-77907000.0,737568000.0,398258000.0,-260685000.0,1183000.0,145013786.0,737568000.0,145013786.0,1151000.0,398258000.0,-101722000.0,-97094000.0,389700000.0,516900000.0,10.550000190734863,565000.0
2025-02-19,2024,10-K,FY,Udemy,UDMY,gig,2024,2024-12-31,education-training-services,consumer-defensive,8.229999542236328,475600.0,548600000.0,-153875000.0,-151190000.0,741196000.0,384304000.0,389700000.0,2286000.0,157166360.0,741196000.0,157166360.0,2924000.0,384304000.0,-87046000.0,-96235000.0,339310000.0,532600000.0,14.729999542236328,690800.0
2026-02-19,2025,10-K,FY,Udemy,UDMY,gig,2025,2025-12-31,education-training-services,consumer-defensive,5.760000228881836,2855200.0,567900000.0,-107294000.0,-121895000.0,605628000.0,408234000.0,339310000.0,3653000.0,147484280.0,605628000.0,147484280.0,2692000.0,408234000.0,-75424000.0,-77734000.0,356892000.0,535900000.0,8.229999542236328,475600.0
2019-03-07,2018,10-K,FY,Upwork,UPWK,gig,2018,2018-12-31,internet-content-information,communication-services,18.11000061035156,337200.0,164445000.0,-16233000.0,-14468000.0,275189000.0,140070000.0,-21434000.0,-1000.0,33740323.0,275189000.0,33740323.0,56000.0,140070000.0,1068000.0,1828000.0,-31367000.0,147793000.0,,
2020-03-02,2019,10-K,FY,Upwork,UPWK,gig,2019,2019-12-31,internet-content-information,communication-services,10.670000076293944,1182600.0,202552000.0,-4123000.0,-3123000.0,391573000.0,147828000.0,-30131000.0,-22000.0,106454321.0,391573000.0,106454321.0,9000.0,147828000.0,-14542000.0,-9014000.0,-31367000.0,186012000.0,18.11000061035156,337200.0
2021-02-24,2020,10-K,FY,Upwork,UPWK,gig,2020,2020-12-31,internet-content-information,communication-services,34.52000045776367,1485200.0,253354000.0,-19907000.0,-11712000.0,446380000.0,186956000.0,-31367000.0,15000.0,113604398.0,446380000.0,113604398.0,28000.0,186956000.0,-11158000.0,-11856000.0,243745000.0,220274000.0,10.670000076293944,1182600.0
