Uber,Lyft,DoorDash,Instacart,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Nu skin,USANA,Etsy,Shopify,Udemy,year,month,date
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,1.0,29.0,0.0,0.0,2011,9,2011-09-30
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,32.0,0.0,0.0,2011,10,2011-10-31
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,35.0,0.0,0.0,2011,11,2011-11-30
2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,38.0,0.0,0.0,2011,12,2011-12-31
2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,2.0,1.0,1.0,38.0,1.0,0.0,2012,1,2012-01-31
2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,2.0,1.0,1.0,38.0,1.0,0.0,2012,2,2012-02-29
2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,37.0,1.0,0.0,2012,3,2012-03-31
2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,37.0,1.0,0.0,2012,4,2012-04-30
2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,36.0,1.0,0.0,2012,5,2012-05-31
3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,38.0,1.0,0.0,2012,6,2012-06-30
3.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,44.0,1.0,0.0,2012,7,2012-07-31
3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,46.0,1.0,0.0,2012,8,2012-08-31
3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,45.0,1.0,0.0,2012,9,2012-09-30
3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,2.0,1.0,1.0,45.0,1.0,0.0,2012,10,2012-10-31
3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,2.0,0.0,1.0,54.0,1.0,0.0,2012,11,2012-11-30
4.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.0,0.0,1.0,55.0,1.0,0.0,2012,12,2012-12-31
4.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,54.0,1.0,0.0,2013,1,2013-01-31
4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,1.0,1.0,51.0,1.0,0.0,2013,2,2013-02-28
4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,1.0,1.0,52.0,1.0,0.0,2013,3,2013-03-31
4.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,1.0,1.0,46.0,1.0,0.0,2013,4,2013-04-30
5.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,47.0,1.0,0.0,2013,5,2013-05-31
5.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,44.0,1.0,0.0,2013,6,2013-06-30
7.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,48.0,1.0,0.0,2013,7,2013-07-31
