Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,year,quarter,date
66.66666666666667,18.333333333333332,28.666666666666668,19.333333333333332,18.0,3.0,2.0,0.6666666666666666,6.333333333333333,5.0,2.0,2.6666666666666665,14.666666666666666,45.90621026976976,10.552322764192539,4.083224187644228,2020,1,2020-01-01
45.666666666666664,9.0,40.666666666666664,36.666666666666664,23.666666666666668,3.6666666666666665,2.0,0.3333333333333333,7.333333333333333,6.666666666666667,2.0,3.6666666666666665,15.333333333333334,80.4291278133543,15.677332134966107,4.7709433396996594,2020,2,2020-04-01
45.666666666666664,10.0,39.0,16.0,18.333333333333332,4.0,2.0,1.0,6.0,6.0,2.0,3.3333333333333335,16.0,81.79245750309579,15.675909039738826,4.089744455701902,2020,3,2020-07-01
44.0,9.0,42.666666666666664,16.333333333333332,16.333333333333332,3.0,1.3333333333333333,1.0,6.0,4.333333333333333,1.6666666666666667,3.0,14.666666666666666,89.36790664116245,11.59681532937347,3.069792610490285,2020,4,2020-10-01
49.0,10.0,46.0,17.0,18.666666666666668,4.333333333333333,1.3333333333333333,1.0,6.0,5.666666666666667,2.0,3.3333333333333335,14.333333333333334,77.46735241502684,11.657125819916518,3.0841532498509245,2021,1,2021-01-01
53.333333333333336,12.0,44.666666666666664,13.333333333333334,15.666666666666666,3.6666666666666665,1.0,1.0,6.333333333333333,5.666666666666667,2.0,3.0,16.666666666666668,67.94605897247406,10.531662407673188,3.057457905975426,2021,2,2021-04-01
53.0,11.666666666666666,40.0,14.333333333333334,14.0,3.0,1.0,1.0,6.0,4.666666666666667,2.0,3.0,16.666666666666668,66.25271538918598,10.19263220439691,3.0577896613190725,2021,3,2021-07-01
51.333333333333336,10.333333333333334,39.0,15.666666666666666,14.0,3.3333333333333335,1.0,1.0,6.0,3.6666666666666665,2.0,3.3333333333333335,15.666666666666666,83.63388801674516,10.198660387231817,3.059638932496075,2021,4,2021-10-01
59.0,11.333333333333334,48.0,20.333333333333332,15.666666666666666,5.0,2.3333333333333335,1.0,6.333333333333333,4.0,2.0,3.0,14.666666666666666,82.74490648565562,14.242415176867448,4.408884120614419,2022,1,2022-01-01
59.333333333333336,12.666666666666666,44.333333333333336,16.333333333333332,13.333333333333334,5.0,2.6666666666666665,1.3333333333333333,7.0,4.0,2.0,3.0,15.333333333333334,75.00671267102102,15.346391255754815,4.092371001534618,2022,2,2022-04-01
58.333333333333336,12.333333333333334,44.333333333333336,17.0,14.333333333333334,4.666666666666667,2.6666666666666665,1.0,7.0,3.6666666666666665,2.3333333333333335,3.0,16.0,74.71914700544464,14.672359778757238,4.777691354823841,2022,3,2022-07-01
