Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,year,quarter,date,Lyft_lag,DoorDash_lag,Instacart_lag,Grubhub_lag,Fiverr_lag,Upwork_lag,side hustle_lag,gig_lag,Herbalife_lag,Primerica_lag,Tupperware_lag,Avon_lag,Etsy_lag,Shopify_lag,Udemy_lag,quarter_lag
5.0,0.0,1.0,8.333333333333334,1.6666666666666667,0.0,0.0,6.0,6.333333333333333,2.0,3.0,16.666666666666668,53.4520202020202,2.0558145558145555,1.3697876197876198,2015,1,2015-01-01,5.0,0.0,1.0,7.666666666666667,1.0,0.0,0.0,6.333333333333333,4.666666666666667,1.6666666666666667,3.0,16.666666666666668,62.07327327327328,2.0582582582582583,1.0291291291291291,4.0
5.0,0.3333333333333333,1.0,7.666666666666667,2.0,0.3333333333333333,0.0,6.333333333333333,5.666666666666667,2.0,3.0,18.333333333333332,50.98446684086102,2.7383949234789102,1.3654547716809755,2015,2,2015-04-01,5.0,0.0,1.0,8.333333333333334,1.6666666666666667,0.0,0.0,6.0,6.333333333333333,2.0,3.0,16.666666666666668,53.4520202020202,2.0558145558145555,1.3697876197876198,1.0
7.0,1.0,1.3333333333333333,7.333333333333333,2.0,1.0,0.0,6.666666666666667,5.666666666666667,2.0,3.0,18.0,54.459904941260874,3.0823110034974444,2.0548740023316294,2015,3,2015-07-01,5.0,0.3333333333333333,1.0,7.666666666666667,2.0,0.3333333333333333,0.0,6.333333333333333,5.666666666666667,2.0,3.0,18.333333333333332,50.98446684086102,2.7383949234789102,1.3654547716809755,2.0
8.0,1.3333333333333333,1.6666666666666667,8.0,1.3333333333333333,1.0,0.0,6.666666666666667,4.333333333333333,1.6666666666666667,3.0,16.0,59.98262178434592,3.086863711001642,2.0579091406677614,2015,4,2015-10-01,7.0,1.0,1.3333333333333333,7.333333333333333,2.0,1.0,0.0,6.666666666666667,5.666666666666667,2.0,3.0,18.0,54.459904941260874,3.0823110034974444,2.0548740023316294,3.0
9.666666666666666,1.0,1.3333333333333333,8.0,1.6666666666666667,1.0,0.0,6.0,6.333333333333333,2.0,2.6666666666666665,16.666666666666668,50.12714206744058,4.120224275448156,2.060112137724078,2016,1,2016-01-01,8.0,1.3333333333333333,1.6666666666666667,8.0,1.3333333333333333,1.0,0.0,6.666666666666667,4.333333333333333,1.6666666666666667,3.0,16.0,59.98262178434592,3.086863711001642,2.0579091406677614,4.0
12.333333333333334,2.0,1.0,7.333333333333333,2.0,1.0,0.0,6.666666666666667,7.333333333333333,2.0,3.0,18.666666666666668,48.41395596213169,4.091458355494097,1.0228645888735242,2016,2,2016-04-01,9.666666666666666,1.0,1.3333333333333333,8.0,1.6666666666666667,1.0,0.0,6.0,6.333333333333333,2.0,2.6666666666666665,16.666666666666668,50.12714206744058,4.120224275448156,2.060112137724078,1.0
15.666666666666666,2.0,1.0,7.666666666666667,1.0,1.0,0.0,6.333333333333333,6.333333333333333,2.0,3.0,18.666666666666668,50.081141081141084,4.116439116439117,1.370990120990121,2016,3,2016-07-01,12.333333333333334,2.0,1.0,7.333333333333333,2.0,1.0,0.0,6.666666666666667,7.333333333333333,2.0,3.0,18.666666666666668,48.41395596213169,4.091458355494097,1.0228645888735242,2.0
16.666666666666668,3.0,2.0,10.333333333333334,1.0,1.0,0.0,6.0,4.666666666666667,1.6666666666666667,3.0,16.333333333333332,55.57831196581196,5.147970085470085,1.7133547008547005,2016,4,2016-10-01,15.666666666666666,2.0,1.0,7.666666666666667,1.0,1.0,0.0,6.333333333333333,6.333333333333333,2.0,3.0,18.666666666666668,50.081141081141084,4.116439116439117,1.370990120990121,3.0
20.0,3.0,2.0,9.666666666666666,2.0,1.0,0.0,6.0,5.666666666666667,2.0,3.0,16.0,48.4789768695899,5.80436355896126,2.048453242514545,2017,1,2017-01-01,16.666666666666668,3.0,2.0,10.333333333333334,1.0,1.0,0.0,6.0,4.666666666666667,1.6666666666666667,3.0,16.333333333333332,55.57831196581196,5.147970085470085,1.7133547008547005,4.0
21.333333333333332,4.0,2.6666666666666665,10.0,2.0,1.0,0.0,6.333333333333333,5.666666666666667,2.0,3.0,18.333333333333332,46.57323808995693,6.850389929878156,2.054843918824682,2017,2,2017-04-01,20.0,3.0,2.0,9.666666666666666,2.0,1.0,0.0,6.0,5.666666666666667,2.0,3.0,16.0,48.4789768695899,5.80436355896126,2.048453242514545,1.0
23.333333333333332,4.0,3.3333333333333335,10.0,2.0,1.6666666666666667,0.0,6.666666666666667,5.0,2.0,3.0,18.0,45.99157940069813,7.54971893558185,2.0593181921211294,2017,3,2017-07-01,21.333333333333332,4.0,2.6666666666666665,10.0,2.0,1.0,0.0,6.333333333333333,5.666666666666667,2.0,3.0,18.333333333333332,46.57323808995693,6.850389929878156,2.054843918824682,2.0
21.666666666666668,4.666666666666667,4.0,10.0,2.0,1.0,0.0,6.0,3.6666666666666665,2.0,3.0,16.0,54.17115891423077,7.542510909466029,2.742799363144106,2017,4,2017-10-01,23.333333333333332,4.0,3.3333333333333335,10.0,2.0,1.6666666666666667,0.0,6.666666666666667,5.0,2.0,3.0,18.0,45.99157940069813,7.54971893558185,2.0593181921211294,3.0
21.333333333333332,6.333333333333333,5.333333333333333,11.666666666666666,2.0,2.0,0.0,6.333333333333333,5.333333333333333,2.0,3.0,16.0,44.84333333333333,8.215072463768115,3.423647342995169,2018,1,2018-01-01,21.666666666666668,4.666666666666667,4.0,10.0,2.0,1.0,0.0,6.0,3.6666666666666665,2.0,3.0,16.0,54.17115891423077,7.542510909466029,2.742799363144106,4.0
