Uber,Lyft,DoorDash,Instacart,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Nu skin,USANA,Etsy,Shopify,Udemy,date,year,month
54.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,52.9811320754717,3.0566037735849054,1.0188679245283019,2015-05-31,2015,5
58.0,6.0,1.0,1.0,2.0,1.0,0.0,7.0,5.0,2.0,0.0,1.0,51.89473684210527,3.0526315789473686,2.0350877192982457,2015-06-30,2015,6
64.0,7.0,1.0,1.0,2.0,1.0,0.0,7.0,6.0,2.0,0.0,1.0,54.0,3.0,2.0,2015-07-31,2015,7
61.0,8.0,1.0,1.0,2.0,1.0,0.0,7.0,6.0,2.0,0.0,1.0,56.0,3.0,2.0,2015-08-31,2015,8
60.0,7.0,1.0,2.0,2.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,54.91525423728813,3.0508474576271185,2.0338983050847457,2015-09-30,2015,9
63.0,8.0,1.0,2.0,2.0,1.0,0.0,6.0,5.0,2.0,1.0,1.0,52.83870967741935,3.0483870967741935,2.032258064516129,2015-10-31,2015,10
62.0,8.0,1.0,2.0,1.0,1.0,0.0,6.0,4.0,2.0,0.0,1.0,60.98360655737705,3.0491803278688527,2.0327868852459017,2015-11-30,2015,11
58.0,8.0,1.0,1.0,2.0,1.0,0.0,7.0,4.0,1.0,0.0,1.0,68.17543859649123,3.0526315789473686,2.0350877192982457,2015-12-31,2015,12
69.0,10.0,1.0,2.0,1.0,1.0,0.0,6.0,6.0,2.0,0.0,1.0,49.720588235294116,4.0588235294117645,2.0294117647058822,2016-01-31,2016,1
72.0,9.0,1.0,1.0,2.0,1.0,0.0,6.0,6.0,2.0,0.0,1.0,51.0,4.0,2.0,2016-02-29,2016,2
64.0,10.0,1.0,1.0,2.0,1.0,0.0,6.0,7.0,2.0,0.0,1.0,49.0,4.0,2.0,2016-03-31,2016,3
71.0,11.0,2.0,1.0,2.0,1.0,0.0,6.0,8.0,2.0,0.0,1.0,49.0,4.0,2.0,2016-04-30,2016,4
75.0,14.0,2.0,1.0,2.0,1.0,0.0,7.0,7.0,2.0,0.0,1.0,50.67567567567568,4.054054054054054,1.0135135135135136,2016-05-31,2016,5
84.0,14.0,2.0,1.0,2.0,1.0,0.0,7.0,7.0,2.0,0.0,1.0,47.56626506024096,5.0602409638554215,1.0120481927710843,2016-06-30,2016,6
85.0,16.0,2.0,1.0,1.0,1.0,0.0,7.0,8.0,2.0,0.0,1.0,49.58333333333333,4.0476190476190474,1.0119047619047619,2016-07-31,2016,7
82.0,15.0,2.0,1.0,1.0,1.0,0.0,7.0,6.0,2.0,0.0,1.0,57.70370370370371,4.049382716049383,2.0246913580246915,2016-08-31,2016,8
76.0,16.0,2.0,1.0,1.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,52.693333333333335,4.053333333333334,1.0133333333333334,2016-09-30,2016,9
84.0,16.0,3.0,2.0,1.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,51.614457831325296,5.0602409638554215,1.0120481927710843,2016-10-31,2016,10
79.0,16.0,3.0,2.0,1.0,1.0,0.0,6.0,5.0,2.0,0.0,0.0,56.717948717948715,5.064102564102564,2.0256410256410255,2016-11-30,2016,11
81.0,18.0,3.0,2.0,1.0,1.0,0.0,6.0,4.0,1.0,0.0,0.0,58.0,5.0,2.0,2016-12-31,2016,12
88.0,19.0,3.0,2.0,2.0,1.0,0.0,5.0,6.0,2.0,0.0,1.0,47.54022988505748,6.06896551724138,2.0229885057471266,2017-01-31,2017,1
83.0,20.0,3.0,2.0,2.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,47.573170731707314,6.073170731707317,2.024390243902439,2017-02-28,2017,2
82.0,20.0,3.0,2.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1.0,48.592592592592595,6.074074074074074,2.0246913580246915,2017-03-31,2017,3
81.0,19.0,4.0,2.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1.0,46.0,6.0,2.0,2017-04-30,2017,4
81.0,20.0,4.0,3.0,2.0,2.0,0.0,6.0,5.0,2.0,1.0,1.0,47.5875,7.0874999999999995,2.025,2017-05-31,2017,5
96.0,24.0,4.0,3.0,2.0,1.0,0.0,7.0,7.0,2.0,1.0,1.0,45.473684210526315,7.0736842105263165,2.0210526315789474,2017-06-30,2017,6
88.0,24.0,4.0,3.0,2.0,1.0,0.0,7.0,6.0,2.0,1.0,1.0,46.52873563218391,7.080459770114944,2.0229885057471266,2017-07-31,2017,7
74.0,23.0,4.0,3.0,2.0,1.0,0.0,7.0,5.0,2.0,1.0,1.0,47.0,8.0,2.0,2017-08-31,2017,8
72.0,21.0,4.0,4.0,2.0,1.0,0.0,6.0,4.0,2.0,1.0,1.0,41.57746478873239,7.098591549295774,2.028169014084507,2017-09-30,2017,9
71.0,22.0,4.0,4.0,2.0,1.0,0.0,6.0,4.0,2.0,1.0,1.0,45.64285714285714,8.114285714285714,3.0428571428571427,2017-10-31,2017,10
75.0,21.0,5.0,4.0,2.0,1.0,0.0,6.0,4.0,2.0,1.0,0.0,57.770270270270274,8.108108108108109,3.040540540540541,2017-11-30,2017,11
71.0,22.0,5.0,4.0,2.0,1.0,0.0,7.0,3.0,2.0,0.0,0.0,58.82857142857142,6.085714285714285,3.0428571428571427,2017-12-31,2017,12
71.0,21.0,6.0,6.0,2.0,1.0,0.0,7.0,5.0,2.0,0.0,1.0,46.65714285714286,8.114285714285714,4.057142857142857,2018-01-31,2018,1
77.0,20.0,6.0,5.0,2.0,2.0,0.0,6.0,5.0,2.0,0.0,1.0,46.60526315789473,8.105263157894736,3.039473684210526,2018-02-28,2018,2
83.0,22.0,8.0,5.0,2.0,2.0,0.0,6.0,6.0,2.0,0.0,1.0,44.53658536585366,8.097560975609756,3.0365853658536586,2018-03-31,2018,3
74.0,21.0,8.0,5.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1.0,48.657534246575345,8.10958904109589,3.041095890410959,2018-04-30,2018,4
73.0,21.0,9.0,5.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1.0,43.59722222222222,8.11111111111111,3.0416666666666665,2018-05-31,2018,5
82.0,24.0,10.0,5.0,2.0,2.0,0.0,7.0,6.0,2.0,1.0,1.0,43.0,8.0,3.0,2018-06-30,2018,6
86.0,26.0,11.0,5.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1.0,44.51764705882353,9.105882352941176,3.0352941176470587,2018-07-31,2018,7
82.0,24.0,13.0,5.0,2.0,2.0,0.0,7.0,6.0,2.0,0.0,1.0,44.543209876543216,9.11111111111111,3.037037037037037,2018-08-31,2018,8
78.0,21.0,13.0,6.0,2.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,48.623376623376615,8.103896103896103,3.0389610389610384,2018-09-30,2018,9
76.0,22.0,14.0,6.0,2.0,2.0,0.0,6.0,5.0,2.0,0.0,0.0,43.57333333333334,8.106666666666667,3.04,2018-10-31,2018,10
71.0,23.0,15.0,6.0,2.0,1.0,0.0,6.0,4.0,2.0,0.0,0.0,57.81428571428571,9.128571428571428,3.0428571428571427,2018-11-30,2018,11
74.0,22.0,16.0,6.0,2.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,59.0,7.0,3.0,2018-12-31,2018,12
76.0,21.0,21.0,7.0,2.0,2.0,1.0,6.0,5.0,2.0,0.0,0.0,46.61333333333334,9.120000000000001,4.053333333333334,2019-01-31,2019,1
74.0,23.0,23.0,7.0,2.0,2.0,0.0,6.0,5.0,2.0,0.0,1.0,47.64383561643836,9.123287671232877,3.041095890410959,2019-02-28,2019,2
76.0,32.0,26.0,7.0,2.0,1.0,0.0,6.0,6.0,2.0,0.0,1.0,45.6,9.120000000000001,3.04,2019-03-31,2019,3
80.0,33.0,24.0,7.0,2.0,1.0,0.0,6.0,6.0,2.0,0.0,1.0,47.0,9.0,3.0,2019-04-30,2019,4
100.0,28.0,26.0,7.0,2.0,2.0,1.0,7.0,6.0,2.0,0.0,1.0,51.515151515151516,9.090909090909092,3.0303030303030303,2019-05-31,2019,5
82.0,24.0,26.0,8.0,3.0,2.0,1.0,7.0,5.0,2.0,0.0,1.0,49.604938271604944,10.123456790123457,4.049382716049383,2019-06-30,2019,6
77.0,22.0,25.0,7.0,3.0,2.0,1.0,7.0,5.0,2.0,0.0,1.0,47.0,10.0,3.0,2019-07-31,2019,7
75.0,22.0,25.0,8.0,3.0,2.0,1.0,6.0,5.0,2.0,0.0,1.0,46.0,10.0,3.0,2019-08-31,2019,8
71.0,19.0,26.0,7.0,2.0,2.0,0.0,6.0,5.0,2.0,0.0,1.0,47.67142857142857,10.142857142857142,3.0428571428571427,2019-09-30,2019,9
69.0,20.0,27.0,7.0,2.0,2.0,1.0,6.0,4.0,2.0,0.0,0.0,48.705882352941174,10.147058823529411,3.0441176470588234,2019-10-31,2019,10
73.0,19.0,24.0,8.0,2.0,2.0,0.0,6.0,4.0,2.0,0.0,0.0,54.0,10.0,3.0,2019-11-30,2019,11
67.0,20.0,25.0,7.0,2.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,58.878787878787875,9.136363636363637,3.0454545454545454,2019-12-31,2019,12
69.0,21.0,26.0,9.0,3.0,2.0,1.0,6.0,5.0,2.0,0.0,1.0,49.720588235294116,10.147058823529411,4.0588235294117645,2020-01-31,2020,1
67.0,20.0,26.0,8.0,3.0,2.0,1.0,6.0,5.0,2.0,0.0,1.0,46.0,10.0,4.0,2020-02-29,2020,2
63.0,14.0,32.0,40.0,3.0,2.0,0.0,8.0,5.0,2.0,0.0,0.0,41.0,10.0,4.0,2020-03-31,2020,3
47.0,9.0,46.0,67.0,3.0,2.0,0.0,8.0,6.0,2.0,1.0,0.0,80.71739130434783,14.304347826086957,5.108695652173914,2020-04-30,2020,4
46.0,9.0,40.0,27.0,4.0,2.0,0.0,7.0,7.0,2.0,1.0,0.0,84.0,17.0,5.0,2020-05-31,2020,5
46.0,10.0,37.0,18.0,4.0,2.0,1.0,7.0,7.0,2.0,1.0,0.0,80.75555555555555,17.377777777777776,5.111111111111111,2020-06-30,2020,6
47.0,10.0,40.0,18.0,4.0,2.0,1.0,6.0,7.0,2.0,1.0,0.0,85.0,17.0,4.0,2020-07-31,2020,7
48.0,12.0,43.0,16.0,4.0,2.0,1.0,6.0,7.0,2.0,1.0,0.0,82.72340425531914,16.340425531914892,4.085106382978723,2020-08-31,2020,8
42.0,9.0,39.0,13.0,4.0,2.0,1.0,6.0,5.0,2.0,0.0,0.0,75.0,14.0,4.0,2020-09-30,2020,9
45.0,9.0,39.0,13.0,3.0,2.0,1.0,6.0,5.0,2.0,0.0,0.0,76.0,13.0,3.0,2020-10-31,2020,10
43.0,9.0,40.0,15.0,3.0,1.0,1.0,5.0,4.0,2.0,0.0,0.0,91.0,11.0,3.0,2020-11-30,2020,11
47.0,8.0,47.0,18.0,3.0,1.0,1.0,7.0,4.0,2.0,0.0,0.0,100.0,11.0,3.0,2020-12-31,2020,12
44.0,9.0,46.0,19.0,4.0,1.0,1.0,6.0,6.0,2.0,1.0,0.0,84.0,12.0,4.0,2021-01-31,2021,1
49.0,10.0,49.0,18.0,5.0,2.0,1.0,6.0,5.0,2.0,1.0,0.0,78.60416666666666,12.25,3.0625,2021-02-28,2021,2
55.0,11.0,45.0,14.0,5.0,1.0,1.0,6.0,6.0,2.0,1.0,0.0,73.33333333333334,10.185185185185187,3.055555555555556,2021-03-31,2021,3
50.0,11.0,46.0,14.0,4.0,1.0,1.0,6.0,6.0,2.0,1.0,0.0,73.0,11.0,3.0,2021-04-30,2021,4
53.0,12.0,45.0,14.0,4.0,1.0,1.0,6.0,6.0,2.0,1.0,0.0,68.0,10.0,3.0,2021-05-31,2021,5
55.0,13.0,44.0,13.0,4.0,1.0,1.0,7.0,5.0,2.0,1.0,0.0,65.0,10.0,3.0,2021-06-30,2021,6
58.0,12.0,41.0,13.0,4.0,2.0,1.0,7.0,5.0,2.0,1.0,0.0,66.14035087719299,10.17543859649123,3.0526315789473686,2021-07-31,2021,7
53.0,12.0,41.0,15.0,3.0,1.0,1.0,6.0,5.0,2.0,1.0,1.0,68.0,10.0,3.0,2021-08-31,2021,8
53.0,11.0,39.0,16.0,3.0,1.0,1.0,6.0,4.0,2.0,0.0,1.0,68.0,10.0,3.0,2021-09-30,2021,9
53.0,11.0,37.0,14.0,3.0,1.0,1.0,6.0,4.0,2.0,0.0,0.0,72.36538461538461,11.21153846153846,3.0576923076923075,2021-10-31,2021,10
51.0,11.0,38.0,15.0,3.0,1.0,1.0,6.0,4.0,2.0,0.0,0.0,93.0,11.0,3.0,2021-11-30,2021,11
50.0,11.0,44.0,18.0,3.0,1.0,1.0,6.0,3.0,2.0,0.0,0.0,85.0,9.0,3.0,2021-12-31,2021,12
54.0,10.0,50.0,25.0,6.0,2.0,1.0,6.0,4.0,2.0,1.0,0.0,88.0,13.0,5.0,2022-01-31,2022,1
60.0,12.0,48.0,19.0,5.0,2.0,1.0,6.0,4.0,2.0,1.0,0.0,84.40677966101694,14.23728813559322,4.067796610169491,2022-02-28,2022,2
63.0,13.0,46.0,17.0,5.0,2.0,1.0,7.0,5.0,2.0,1.0,1.0,78.0,15.0,4.0,2022-03-31,2022,3
62.0,12.0,44.0,16.0,5.0,2.0,2.0,7.0,4.0,2.0,1.0,1.0,81.31147540983606,15.245901639344263,4.065573770491803,2022-04-30,2022,4
59.0,13.0,45.0,16.0,5.0,2.0,1.0,7.0,4.0,2.0,1.0,0.0,76.0,14.0,4.0,2022-05-31,2022,5
61.0,12.0,45.0,17.0,5.0,3.0,1.0,7.0,4.0,2.0,1.0,1.0,74.0,16.0,4.0,2022-06-30,2022,6
58.0,12.0,48.0,17.0,5.0,3.0,1.0,7.0,4.0,3.0,1.0,1.0,78.0,15.0,4.0,2022-07-31,2022,7
58.0,12.0,42.0,17.0,5.0,3.0,1.0,7.0,4.0,2.0,1.0,1.0,78.35087719298247,15.263157894736842,4.0701754385964914,2022-08-31,2022,8
55.0,12.0,40.0,16.0,5.0,2.0,1.0,7.0,3.0,2.0,0.0,1.0,73.0,14.0,4.0,2022-09-30,2022,9
58.0,11.0,41.0,16.0,4.0,3.0,1.0,7.0,3.0,2.0,0.0,0.0,78.35087719298247,14.24561403508772,4.0701754385964914,2022-10-31,2022,10
50.0,12.0,40.0,15.0,4.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,90.0,16.0,4.0,2022-11-30,2022,11
57.0,11.0,45.0,19.0,4.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,91.0,15.0,4.0,2022-12-31,2022,12
55.0,11.0,46.0,17.0,5.0,3.0,2.0,7.0,3.0,2.0,1.0,0.0,77.0,17.0,5.0,2023-01-31,2023,1
59.0,13.0,47.0,17.0,5.0,3.0,1.0,6.0,3.0,2.0,1.0,0.0,76.29310344827586,16.275862068965516,5.086206896551724,2023-02-28,2023,2
58.0,12.0,49.0,16.0,5.0,3.0,1.0,6.0,3.0,2.0,1.0,0.0,69.0,16.0,4.0,2023-03-31,2023,3
55.0,12.0,45.0,17.0,5.0,3.0,1.0,7.0,3.0,2.0,1.0,0.0,66.0,15.0,4.0,2023-04-30,2023,4
61.0,12.0,42.0,15.0,5.0,3.0,1.0,7.0,3.0,2.0,1.0,1.0,67.0,15.0,4.0,2023-05-31,2023,5
61.0,12.0,44.0,17.0,5.0,3.0,1.0,7.0,3.0,2.0,1.0,1.0,70.0,15.0,4.0,2023-06-30,2023,6
64.0,11.0,43.0,16.0,5.0,3.0,1.0,8.0,3.0,2.0,1.0,1.0,70.0,16.0,4.0,2023-07-31,2023,7
61.0,12.0,41.0,16.0,5.0,3.0,1.0,7.0,3.0,2.0,0.0,1.0,70.14999999999999,16.266666666666666,4.066666666666666,2023-08-31,2023,8
57.0,11.0,42.0,18.0,4.0,2.0,1.0,7.0,2.0,2.0,0.0,1.0,69.21428571428571,15.267857142857142,4.071428571428571,2023-09-30,2023,9
62.0,11.0,39.0,14.0,4.0,2.0,1.0,7.0,2.0,2.0,0.0,0.0,71.14754098360656,16.262295081967213,4.065573770491803,2023-10-31,2023,10
57.0,11.0,43.0,14.0,4.0,2.0,1.0,7.0,2.0,2.0,0.0,0.0,89.57142857142857,16.285714285714285,4.071428571428571,2023-11-30,2023,11
62.0,10.0,43.0,16.0,4.0,2.0,1.0,7.0,2.0,2.0,0.0,0.0,89.44262295081967,14.229508196721312,4.065573770491803,2023-12-31,2023,12
59.0,10.0,45.0,17.0,4.0,3.0,1.0,7.0,2.0,2.0,0.0,0.0,71.20689655172413,18.310344827586206,5.086206896551724,2024-01-31,2024,1
63.0,12.0,51.0,15.0,5.0,3.0,1.0,7.0,2.0,2.0,0.0,0.0,69.09677419354838,17.274193548387096,5.080645161290322,2024-02-29,2024,2
61.0,11.0,44.0,15.0,4.0,2.0,1.0,7.0,2.0,2.0,0.0,0.0,64.05,16.266666666666666,5.083333333333333,2024-03-31,2024,3
60.0,10.0,42.0,14.0,4.0,3.0,1.0,7.0,2.0,2.0,0.0,0.0,65.08474576271186,15.254237288135592,4.067796610169491,2024-04-30,2024,4
63.0,11.0,41.0,15.0,4.0,3.0,1.0,7.0,2.0,2.0,0.0,0.0,61.983870967741936,15.241935483870968,4.064516129032258,2024-05-31,2024,5
63.0,11.0,44.0,15.0,4.0,3.0,1.0,7.0,2.0,2.0,0.0,1.0,59.0,15.0,5.0,2024-06-30,2024,6
63.0,11.0,41.0,15.0,4.0,2.0,1.0,8.0,2.0,2.0,0.0,1.0,62.0,14.0,4.0,2024-07-31,2024,7
61.0,11.0,41.0,14.0,4.0,3.0,1.0,7.0,2.0,2.0,0.0,1.0,64.0,15.0,5.0,2024-08-31,2024,8
58.0,9.0,39.0,13.0,4.0,2.0,1.0,7.0,2.0,2.0,0.0,1.0,61.0,14.0,4.0,2024-09-30,2024,9
59.0,10.0,38.0,13.0,4.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,57.0,14.0,4.0,2024-10-31,2024,10
56.0,10.0,40.0,13.0,3.0,2.0,1.0,7.0,2.0,2.0,0.0,0.0,75.34545454545454,15.272727272727272,4.072727272727272,2024-11-30,2024,11
59.0,10.0,44.0,15.0,3.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0,79.34482758620689,14.241379310344826,4.068965517241379,2024-12-31,2024,12
